start, 2022-06-23 20:00:14.726412
end, 2022-06-23 20:01:52.681015
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.14291100e-05,
-9.62000000e-01, -3.75501000e-06,
-9.24000000e-01, -2.35114700e-06,
-8.86000000e-01, -1.70772300e-06,
-8.48000000e-01, -1.06430000e-06,
-8.10000000e-01, -5.96360800e-07,
-7.72000000e-01, -3.62376700e-07,
-7.34000000e-01, -3.03884600e-07,
-6.96000000e-01, -1.86902300e-07,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 1.05560500e-07,
-5.82000000e-01, 2.22547100e-07,
-5.44000000e-01, 2.22545700e-07,
-5.06000000e-01, 1.64052100e-07,
-4.68000000e-01, 1.05560500e-07,
-4.30000000e-01, 2.22547100e-07,
-3.92000000e-01, 2.81038300e-07,
-3.54000000e-01, 2.81038300e-07,
-3.16000000e-01, 3.39530900e-07,
-2.78000000e-01, 2.81036400e-07,
-2.40000000e-01, 3.39530900e-07,
-2.02000000e-01, 3.39533200e-07,
-1.64000000e-01, 2.81038300e-07,
-1.26000000e-01, 1.64052100e-07,
-8.80000000e-02, 2.81036400e-07,
-5.00000000e-02, 2.81038300e-07,
-1.20000000e-02, 1.64053100e-07,
2.60000000e-02, 1.64053100e-07,
6.40000000e-02, 2.81038300e-07,
1.02000000e-01, 2.81040200e-07,
1.40000000e-01, 2.81036400e-07,
1.78000000e-01, 2.81038300e-07,
2.16000000e-01, 2.81038300e-07,
2.54000000e-01, 2.22547100e-07,
2.92000000e-01, 2.81036400e-07,
3.30000000e-01, 5.15008700e-07,
3.68000000e-01, 5.15008700e-07,
4.06000000e-01, 6.90481200e-07,
4.44000000e-01, 6.90486400e-07,
4.82000000e-01, 1.09992600e-06,
5.20000000e-01, 1.45090200e-06,
5.58000000e-01, 2.26978600e-06,
5.96000000e-01, 3.26418700e-06,
6.34000000e-01, 4.31702700e-06,
6.72000000e-01, 5.36993700e-06,
7.10000000e-01, 6.42265600e-06,
7.48000000e-01, 7.35864100e-06,
7.86000000e-01, 7.88507500e-06,
8.24000000e-01, 8.64554800e-06,
8.62000000e-01, 9.23025500e-06,
9.00000000e-01, 9.93215600e-06,
9.38000000e-01, 1.02831900e-05,
9.76000000e-01, 1.07512100e-05,
1.01400000e+00, 1.12192400e-05,
1.05200000e+00, 1.15117100e-05,
1.09000000e+00, 1.19793600e-05,
1.12800000e+00, 1.27984500e-05,
1.16600000e+00, 1.42022800e-05,
1.20400000e+00, 1.66589600e-05,
1.24200000e+00, 2.01100300e-05,
1.28000000e+00, 2.38533600e-05,
1.31800000e+00, 2.80652500e-05,
1.35600000e+00, 3.13993500e-05,
1.39400000e+00, 3.33293500e-05,
1.43200000e+00, 3.44404300e-05,
1.47000000e+00, 3.49668600e-05,
1.50800000e+00, 3.56693500e-05,
1.54600000e+00, 3.61375900e-05,
