start, 2022-06-24 00:47:00.360518
end, 2022-06-24 00:48:37.794091
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.89724000e-05,
-9.62000000e-01, -2.99462000e-06,
-9.24000000e-01, -1.82470900e-06,
-8.86000000e-01, -1.29827200e-06,
-8.48000000e-01, -8.30327600e-07,
-8.10000000e-01, -5.37857700e-07,
-7.72000000e-01, -3.03893200e-07,
-7.34000000e-01, -1.28411200e-07,
-6.96000000e-01, 4.70679100e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 1.05560500e-07,
-5.82000000e-01, 2.22547100e-07,
-5.44000000e-01, 2.22550000e-07,
-5.06000000e-01, 2.22545700e-07,
-4.68000000e-01, 2.81040200e-07,
-4.30000000e-01, 1.64053100e-07,
-3.92000000e-01, 2.22545700e-07,
-3.54000000e-01, 1.05561000e-07,
-3.16000000e-01, 1.64053100e-07,
-2.78000000e-01, 2.22545700e-07,
-2.40000000e-01, 1.64053100e-07,
-2.02000000e-01, 2.22545700e-07,
-1.64000000e-01, 1.64055000e-07,
-1.26000000e-01, 1.64054000e-07,
-8.80000000e-02, 2.81038300e-07,
-5.00000000e-02, 1.64053100e-07,
-1.20000000e-02, 1.64054000e-07,
2.60000000e-02, 2.81040200e-07,
6.40000000e-02, 4.56522700e-07,
1.02000000e-01, 2.22548500e-07,
1.40000000e-01, 1.64053100e-07,
1.78000000e-01, 1.64054000e-07,
2.16000000e-01, 1.64054000e-07,
2.54000000e-01, 3.39528500e-07,
2.92000000e-01, 2.22547100e-07,
3.30000000e-01, 3.39530900e-07,
3.68000000e-01, 5.73505500e-07,
4.06000000e-01, 9.24463800e-07,
4.44000000e-01, 1.45090200e-06,
4.82000000e-01, 2.21129400e-06,
5.20000000e-01, 3.43963800e-06,
5.58000000e-01, 4.60952700e-06,
5.96000000e-01, 5.66231100e-06,
6.34000000e-01, 6.53979800e-06,
6.72000000e-01, 7.41713400e-06,
7.10000000e-01, 7.88513900e-06,
7.48000000e-01, 8.47013900e-06,
7.86000000e-01, 8.93801500e-06,
8.24000000e-01, 9.40588200e-06,
8.62000000e-01, 1.00493800e-05,
9.00000000e-01, 1.05173300e-05,
9.38000000e-01, 1.09266000e-05,
9.76000000e-01, 1.11606600e-05,
1.01400000e+00, 1.13946300e-05,
1.05200000e+00, 1.16870000e-05,
1.09000000e+00, 1.20379500e-05,
1.12800000e+00, 1.26813700e-05,
1.16600000e+00, 1.36759500e-05,
1.20400000e+00, 1.54304900e-05,
1.24200000e+00, 1.82385600e-05,
1.28000000e+00, 2.12213900e-05,
1.31800000e+00, 2.39705400e-05,
1.35600000e+00, 2.59592900e-05,
1.39400000e+00, 2.71874100e-05,
1.43200000e+00, 2.80650200e-05,
1.47000000e+00, 2.90006600e-05,
1.50800000e+00, 3.02882300e-05,
1.54600000e+00, 3.15163400e-05,
