start, 2022-06-23 18:44:26.852289
end, 2022-06-23 18:46:03.708829
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.67496700e-05,
-9.62000000e-01, -4.33991000e-06,
-9.24000000e-01, -2.64363300e-06,
-8.86000000e-01, -1.82469400e-06,
-8.48000000e-01, -1.23977900e-06,
-8.10000000e-01, -7.71834600e-07,
-7.72000000e-01, -4.20872600e-07,
-7.34000000e-01, -1.86902300e-07,
-6.96000000e-01, -1.28408300e-07,
-6.58000000e-01, 1.05560500e-07,
-6.20000000e-01, 1.64052100e-07,
-5.82000000e-01, 1.64052100e-07,
-5.44000000e-01, 1.64052100e-07,
-5.06000000e-01, 2.22545700e-07,
-4.68000000e-01, 2.81036400e-07,
-4.30000000e-01, 3.98023400e-07,
-3.92000000e-01, 3.98020600e-07,
-3.54000000e-01, 5.15008700e-07,
-3.16000000e-01, 3.39530900e-07,
-2.78000000e-01, 3.39528500e-07,
-2.40000000e-01, 3.98023400e-07,
-2.02000000e-01, 2.22545700e-07,
-1.64000000e-01, 2.81036400e-07,
-1.26000000e-01, 2.22545700e-07,
-8.80000000e-02, 2.81036400e-07,
-5.00000000e-02, 3.39530900e-07,
-1.20000000e-02, 2.81038300e-07,
2.60000000e-02, 3.39526100e-07,
6.40000000e-02, 3.98020600e-07,
1.02000000e-01, 3.98020600e-07,
1.40000000e-01, 3.39530900e-07,
1.78000000e-01, 4.56516000e-07,
2.16000000e-01, 5.73501200e-07,
2.54000000e-01, 7.48984700e-07,
2.92000000e-01, 1.04143400e-06,
3.30000000e-01, 1.62635500e-06,
3.68000000e-01, 2.91322800e-06,
4.06000000e-01, 4.14154900e-06,
4.44000000e-01, 5.31144400e-06,
4.82000000e-01, 6.18878900e-06,
5.20000000e-01, 7.06612200e-06,
5.58000000e-01, 8.00206000e-06,
5.96000000e-01, 8.76246400e-06,
6.34000000e-01, 9.40580700e-06,
6.72000000e-01, 1.00493000e-05,
7.10000000e-01, 1.05757300e-05,
7.48000000e-01, 1.12192400e-05,
7.86000000e-01, 1.15115200e-05,
8.24000000e-01, 1.20965400e-05,
8.62000000e-01, 1.25058900e-05,
9.00000000e-01, 1.30909200e-05,
9.38000000e-01, 1.33833800e-05,
9.76000000e-01, 1.37929400e-05,
1.01400000e+00, 1.40266800e-05,
1.05200000e+00, 1.45532300e-05,
1.09000000e+00, 1.50796600e-05,
1.12800000e+00, 1.57229600e-05,
1.16600000e+00, 1.72437500e-05,
1.20400000e+00, 1.96419300e-05,
1.24200000e+00, 2.30346600e-05,
1.28000000e+00, 2.74216000e-05,
1.31800000e+00, 3.24519600e-05,
1.35600000e+00, 3.73068500e-05,
1.39400000e+00, 4.06409300e-05,
1.43200000e+00, 4.22780300e-05,
1.47000000e+00, 4.11670200e-05,
1.50800000e+00, 3.56690500e-05,
1.54600000e+00, 2.59590700e-05,
