start, 2022-06-23 18:25:31.992379
end, 2022-06-23 18:27:10.395007
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.88708400e-04,
-9.62000000e-01, -1.75009900e-05,
-9.24000000e-01, -1.42254600e-05,
-8.86000000e-01, -1.24706500e-05,
-8.48000000e-01, -1.14175700e-05,
-8.10000000e-01, -1.04817600e-05,
-7.72000000e-01, -9.72126900e-06,
-7.34000000e-01, -9.13641400e-06,
-6.96000000e-01, -8.96085900e-06,
-6.58000000e-01, -8.84372900e-06,
-6.20000000e-01, -9.01942600e-06,
-5.82000000e-01, -9.13641400e-06,
-5.44000000e-01, -9.42872600e-06,
-5.06000000e-01, -9.66277600e-06,
-4.68000000e-01, -9.89691000e-06,
-4.30000000e-01, -9.95524200e-06,
-3.92000000e-01, -9.95524200e-06,
-3.54000000e-01, -9.89682800e-06,
-3.16000000e-01, -9.77968200e-06,
-2.78000000e-01, -9.83825500e-06,
-2.40000000e-01, -9.66285500e-06,
-2.02000000e-01, -1.23534600e-05,
-1.64000000e-01, -9.19483200e-06,
-1.26000000e-01, -8.72688700e-06,
-8.80000000e-02, -8.43449100e-06,
-5.00000000e-02, -7.61558200e-06,
-1.20000000e-02, -8.60976100e-06,
2.60000000e-02, -5.04186800e-06,
6.40000000e-02, 1.21692000e-06,
1.02000000e-01, 5.48683500e-06,
1.40000000e-01, 7.65104200e-06,
1.78000000e-01, 9.52294400e-06,
2.16000000e-01, 8.35301600e-06,
2.54000000e-01, 1.11605700e-05,
2.92000000e-01, 1.15117100e-05,
3.30000000e-01, 1.18625700e-05,
3.68000000e-01, 1.20965400e-05,
4.06000000e-01, 1.22719200e-05,
4.44000000e-01, 1.24475000e-05,
4.82000000e-01, 1.27398600e-05,
5.20000000e-01, 1.29155400e-05,
5.58000000e-01, 1.30909200e-05,
5.96000000e-01, 1.35002500e-05,
6.34000000e-01, 1.48456900e-05,
6.72000000e-01, 1.73610200e-05,
7.10000000e-01, 2.05194700e-05,
7.48000000e-01, 2.23910600e-05,
7.86000000e-01, 2.30344700e-05,
8.24000000e-01, 2.28591800e-05,
8.62000000e-01, 2.23325600e-05,
9.00000000e-01, 2.18064900e-05,
9.38000000e-01, 2.09872500e-05,
9.76000000e-01, 2.02855000e-05,
1.01400000e+00, 1.99345500e-05,
1.05200000e+00, 1.96422400e-05,
1.09000000e+00, 1.99930400e-05,
1.12800000e+00, 2.17480000e-05,
1.16600000e+00, 2.61349800e-05,
1.20400000e+00, 3.43825000e-05,
1.24200000e+00, 4.49112500e-05,
1.28000000e+00, 5.47385300e-05,
1.31800000e+00, 6.00019800e-05,
1.35600000e+00, 6.08798600e-05,
1.39400000e+00, 5.94160800e-05,
1.43200000e+00, 5.87151400e-05,
1.47000000e+00, 5.91826000e-05,
1.50800000e+00, 6.05869000e-05,
1.54600000e+00, 6.39204600e-05,
