start, 2022-06-23 22:34:45.006642
end, 2022-06-23 22:36:22.382212
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.06687100e-05,
-9.62000000e-01, -3.11158200e-06,
-9.24000000e-01, -1.94171100e-06,
-8.86000000e-01, -1.18128600e-06,
-8.48000000e-01, -8.30334800e-07,
-8.10000000e-01, -5.96355600e-07,
-7.72000000e-01, -2.45397300e-07,
-7.34000000e-01, -1.28412600e-07,
-6.96000000e-01, -1.14255900e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, -1.14246500e-08,
-5.82000000e-01, 2.22545700e-07,
-5.44000000e-01, 2.22547100e-07,
-5.06000000e-01, 1.64054000e-07,
-4.68000000e-01, 2.22547100e-07,
-4.30000000e-01, 2.22545700e-07,
-3.92000000e-01, 3.39530900e-07,
-3.54000000e-01, 2.81038300e-07,
-3.16000000e-01, 2.81038300e-07,
-2.78000000e-01, 3.39533200e-07,
-2.40000000e-01, 3.39533200e-07,
-2.02000000e-01, 2.22547100e-07,
-1.64000000e-01, 2.22545700e-07,
-1.26000000e-01, 2.22545700e-07,
-8.80000000e-02, 2.81038300e-07,
-5.00000000e-02, -1.14246500e-08,
-1.20000000e-02, 2.22545700e-07,
2.60000000e-02, 1.64053100e-07,
6.40000000e-02, 1.05560000e-07,
1.02000000e-01, 2.81040200e-07,
1.40000000e-01, 3.39535600e-07,
1.78000000e-01, 2.22545700e-07,
2.16000000e-01, 1.64053100e-07,
2.54000000e-01, 2.22547100e-07,
2.92000000e-01, 4.56522700e-07,
3.30000000e-01, 2.22544300e-07,
3.68000000e-01, 5.15012400e-07,
4.06000000e-01, 6.90491700e-07,
4.44000000e-01, 9.24449600e-07,
4.82000000e-01, 1.62638100e-06,
5.20000000e-01, 2.50375700e-06,
5.58000000e-01, 3.55662300e-06,
5.96000000e-01, 4.72643700e-06,
6.34000000e-01, 5.77938800e-06,
6.72000000e-01, 6.59823800e-06,
7.10000000e-01, 7.30020800e-06,
7.48000000e-01, 8.06055300e-06,
7.86000000e-01, 8.64554800e-06,
8.24000000e-01, 9.17191200e-06,
8.62000000e-01, 9.63985300e-06,
9.00000000e-01, 1.02832700e-05,
9.38000000e-01, 1.05755600e-05,
9.76000000e-01, 1.09851800e-05,
1.01400000e+00, 1.13362300e-05,
1.05200000e+00, 1.16286000e-05,
1.09000000e+00, 1.21551300e-05,
1.12800000e+00, 1.28571500e-05,
1.16600000e+00, 1.37344500e-05,
1.20400000e+00, 1.56645900e-05,
1.24200000e+00, 1.87645500e-05,
1.28000000e+00, 2.22155800e-05,
1.31800000e+00, 2.51988800e-05,
1.35600000e+00, 2.74216000e-05,
1.39400000e+00, 2.86497100e-05,
1.43200000e+00, 2.95858300e-05,
1.47000000e+00, 3.02290000e-05,
1.50800000e+00, 3.16915600e-05,
1.54600000e+00, 3.28029200e-05,
