start, 2022-06-24 00:31:16.226517
end, 2022-06-24 00:32:53.563084
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.93238500e-05,
-9.62000000e-01, -3.05308800e-06,
-9.24000000e-01, -1.82474000e-06,
-8.86000000e-01, -1.06431800e-06,
-8.48000000e-01, -8.30327600e-07,
-8.10000000e-01, -4.20876400e-07,
-7.72000000e-01, -2.45397300e-07,
-7.34000000e-01, -1.14255900e-08,
-6.96000000e-01, -1.14251300e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 1.64053100e-07,
-5.82000000e-01, 1.05561000e-07,
-5.44000000e-01, 4.70679100e-08,
-5.06000000e-01, 4.70679100e-08,
-4.68000000e-01, 2.22545700e-07,
-4.30000000e-01, 2.81042100e-07,
-3.92000000e-01, 1.64055000e-07,
-3.54000000e-01, 1.64053100e-07,
-3.16000000e-01, 2.22545700e-07,
-2.78000000e-01, 2.22544300e-07,
-2.40000000e-01, 2.22547100e-07,
-2.02000000e-01, 3.39533200e-07,
-1.64000000e-01, 2.22545700e-07,
-1.26000000e-01, 2.81038300e-07,
-8.80000000e-02, 1.64052100e-07,
-5.00000000e-02, 2.22545700e-07,
-1.20000000e-02, 1.64053100e-07,
2.60000000e-02, 1.64054000e-07,
6.40000000e-02, 2.22545700e-07,
1.02000000e-01, 2.22545700e-07,
1.40000000e-01, 2.22547100e-07,
1.78000000e-01, 2.81040200e-07,
2.16000000e-01, 1.64053100e-07,
2.54000000e-01, 2.81038300e-07,
2.92000000e-01, 2.22547100e-07,
3.30000000e-01, 3.98023400e-07,
3.68000000e-01, 4.56516000e-07,
4.06000000e-01, 8.65964100e-07,
4.44000000e-01, 1.33390500e-06,
4.82000000e-01, 2.26980500e-06,
5.20000000e-01, 3.32268000e-06,
5.58000000e-01, 4.43404800e-06,
5.96000000e-01, 5.42834200e-06,
6.34000000e-01, 6.48125300e-06,
6.72000000e-01, 7.35864100e-06,
7.10000000e-01, 7.82658300e-06,
7.48000000e-01, 8.35294800e-06,
7.86000000e-01, 9.05507400e-06,
8.24000000e-01, 9.40588200e-06,
8.62000000e-01, 9.87374400e-06,
9.00000000e-01, 1.04003400e-05,
9.38000000e-01, 1.09851800e-05,
9.76000000e-01, 1.12192400e-05,
1.01400000e+00, 1.15702000e-05,
1.05200000e+00, 1.17455900e-05,
1.09000000e+00, 1.22722200e-05,
1.12800000e+00, 1.27401700e-05,
1.16600000e+00, 1.36172400e-05,
1.20400000e+00, 1.54306200e-05,
1.24200000e+00, 1.81212800e-05,
1.28000000e+00, 2.12800500e-05,
1.31800000e+00, 2.43220900e-05,
1.35600000e+00, 2.62517500e-05,
1.39400000e+00, 2.75383600e-05,
1.43200000e+00, 2.82992200e-05,
1.47000000e+00, 2.92933600e-05,
1.50800000e+00, 3.04634600e-05,
1.54600000e+00, 3.15160800e-05,
