start, 2022-06-23 20:22:20.219226
end, 2022-06-23 20:23:58.017820
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.14291100e-05,
-9.62000000e-01, -3.63796300e-06,
-9.24000000e-01, -2.23417900e-06,
-8.86000000e-01, -1.53223100e-06,
-8.48000000e-01, -1.00580700e-06,
-8.10000000e-01, -5.96355600e-07,
-7.72000000e-01, -3.03893200e-07,
-7.34000000e-01, -1.28412600e-07,
-6.96000000e-01, 1.05560500e-07,
-6.58000000e-01, 1.64053100e-07,
-6.20000000e-01, 2.22547100e-07,
-5.82000000e-01, 1.64053100e-07,
-5.44000000e-01, 2.81038300e-07,
-5.06000000e-01, 2.22547100e-07,
-4.68000000e-01, 3.98026300e-07,
-4.30000000e-01, 2.81040200e-07,
-3.92000000e-01, 2.81036400e-07,
-3.54000000e-01, 2.81040200e-07,
-3.16000000e-01, 4.56519400e-07,
-2.78000000e-01, 3.39528500e-07,
-2.40000000e-01, 2.22544300e-07,
-2.02000000e-01, 2.81036400e-07,
-1.64000000e-01, 2.22545700e-07,
-1.26000000e-01, 2.81036400e-07,
-8.80000000e-02, 2.81040200e-07,
-5.00000000e-02, 2.22545700e-07,
-1.20000000e-02, 2.22547100e-07,
2.60000000e-02, 3.39528500e-07,
6.40000000e-02, 1.64054000e-07,
1.02000000e-01, 3.39530900e-07,
1.40000000e-01, 2.81038300e-07,
1.78000000e-01, 2.81036400e-07,
2.16000000e-01, 1.64053100e-07,
2.54000000e-01, 2.81040200e-07,
2.92000000e-01, 2.22544300e-07,
3.30000000e-01, 3.98020600e-07,
3.68000000e-01, 6.31998500e-07,
4.06000000e-01, 6.90486400e-07,
4.44000000e-01, 7.48973300e-07,
4.82000000e-01, 1.04142600e-06,
5.20000000e-01, 1.68487400e-06,
5.58000000e-01, 2.44526400e-06,
5.96000000e-01, 3.43961100e-06,
6.34000000e-01, 4.49250500e-06,
6.72000000e-01, 5.48692300e-06,
7.10000000e-01, 6.65673000e-06,
7.48000000e-01, 7.41719400e-06,
7.86000000e-01, 8.00199600e-06,
8.24000000e-01, 8.58691700e-06,
8.62000000e-01, 9.28882200e-06,
9.00000000e-01, 9.99088900e-06,
9.38000000e-01, 1.04003400e-05,
9.76000000e-01, 1.08681100e-05,
1.01400000e+00, 1.09852700e-05,
1.05200000e+00, 1.15115200e-05,
1.09000000e+00, 1.20379500e-05,
1.12800000e+00, 1.27398600e-05,
1.16600000e+00, 1.40854000e-05,
1.20400000e+00, 1.64249900e-05,
1.24200000e+00, 1.98175600e-05,
1.28000000e+00, 2.35607100e-05,
1.31800000e+00, 2.74798700e-05,
1.35600000e+00, 3.05217100e-05,
1.39400000e+00, 3.22762200e-05,
1.43200000e+00, 3.32705900e-05,
1.47000000e+00, 3.39142800e-05,
1.50800000e+00, 3.46744000e-05,
1.54600000e+00, 3.53178100e-05,
