start, 2022-06-23 21:31:45.863488
end, 2022-06-23 21:33:23.389066
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.10781600e-05,
-9.62000000e-01, -3.22856900e-06,
-9.24000000e-01, -2.05869900e-06,
-8.86000000e-01, -1.29828300e-06,
-8.48000000e-01, -8.88820800e-07,
-8.10000000e-01, -3.62386700e-07,
-7.72000000e-01, -2.45399700e-07,
-7.34000000e-01, -1.28409800e-07,
-6.96000000e-01, -1.14255900e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 1.05560000e-07,
-5.82000000e-01, 2.22547100e-07,
-5.44000000e-01, 2.22545700e-07,
-5.06000000e-01, 2.81040200e-07,
-4.68000000e-01, 2.81036400e-07,
-4.30000000e-01, 1.64052100e-07,
-3.92000000e-01, 2.81038300e-07,
-3.54000000e-01, 2.81038300e-07,
-3.16000000e-01, 2.22547100e-07,
-2.78000000e-01, 2.81040200e-07,
-2.40000000e-01, 2.22545700e-07,
-2.02000000e-01, 1.64053100e-07,
-1.64000000e-01, 2.81038300e-07,
-1.26000000e-01, 3.39535600e-07,
-8.80000000e-02, 3.39533200e-07,
-5.00000000e-02, 2.81038300e-07,
-1.20000000e-02, 1.64052100e-07,
2.60000000e-02, 1.64055000e-07,
6.40000000e-02, 2.22545700e-07,
1.02000000e-01, 1.64052100e-07,
1.40000000e-01, 2.22545700e-07,
1.78000000e-01, 2.22547100e-07,
2.16000000e-01, 3.39533200e-07,
2.54000000e-01, 2.81040200e-07,
2.92000000e-01, 2.22542800e-07,
3.30000000e-01, 4.56516000e-07,
3.68000000e-01, 5.73497000e-07,
4.06000000e-01, 6.90486400e-07,
4.44000000e-01, 8.65964100e-07,
4.82000000e-01, 1.39239800e-06,
5.20000000e-01, 2.21129400e-06,
5.58000000e-01, 3.20566800e-06,
5.96000000e-01, 4.31709600e-06,
6.34000000e-01, 5.31144400e-06,
6.72000000e-01, 6.18878900e-06,
7.10000000e-01, 7.24171500e-06,
7.48000000e-01, 7.53405800e-06,
7.86000000e-01, 8.41164500e-06,
8.24000000e-01, 8.93794200e-06,
8.62000000e-01, 9.58143800e-06,
9.00000000e-01, 1.01078800e-05,
9.38000000e-01, 1.07513900e-05,
9.76000000e-01, 1.08681100e-05,
1.01400000e+00, 1.11608400e-05,
1.05200000e+00, 1.15115200e-05,
1.09000000e+00, 1.19794600e-05,
1.12800000e+00, 1.27399600e-05,
1.16600000e+00, 1.38513200e-05,
1.20400000e+00, 1.58400700e-05,
1.24200000e+00, 1.91155000e-05,
1.28000000e+00, 2.25080400e-05,
1.31800000e+00, 2.60177800e-05,
1.35600000e+00, 2.85331900e-05,
1.39400000e+00, 2.99952800e-05,
1.43200000e+00, 3.08144200e-05,
1.47000000e+00, 3.18667800e-05,
1.50800000e+00, 3.26862000e-05,
1.54600000e+00, 3.37972900e-05,
