start, 2022-06-24 00:37:33.849116
end, 2022-06-24 00:39:11.152681
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.91474100e-05,
-9.62000000e-01, -2.99457000e-06,
-9.24000000e-01, -1.82470900e-06,
-8.86000000e-01, -1.41524600e-06,
-8.48000000e-01, -7.13347700e-07,
-8.10000000e-01, -4.79360900e-07,
-7.72000000e-01, -1.86908000e-07,
-7.34000000e-01, -6.99191000e-08,
-6.96000000e-01, -1.14260700e-08,
-6.58000000e-01, 1.64053100e-07,
-6.20000000e-01, 4.70679100e-08,
-5.82000000e-01, 1.64054000e-07,
-5.44000000e-01, 2.22547100e-07,
-5.06000000e-01, 2.22548500e-07,
-4.68000000e-01, 2.22548500e-07,
-4.30000000e-01, 2.81042100e-07,
-3.92000000e-01, 2.22548500e-07,
-3.54000000e-01, 3.98026300e-07,
-3.16000000e-01, 2.22544300e-07,
-2.78000000e-01, 4.70679100e-08,
-2.40000000e-01, 1.05561000e-07,
-2.02000000e-01, 2.81040200e-07,
-1.64000000e-01, 1.05559600e-07,
-1.26000000e-01, 2.22545700e-07,
-8.80000000e-02, 1.64052100e-07,
-5.00000000e-02, 2.22548500e-07,
-1.20000000e-02, 1.64053100e-07,
2.60000000e-02, 1.05560500e-07,
6.40000000e-02, 4.70679100e-08,
1.02000000e-01, 2.81038300e-07,
1.40000000e-01, 2.22544300e-07,
1.78000000e-01, 1.05561000e-07,
2.16000000e-01, 1.64053100e-07,
2.54000000e-01, 3.98029200e-07,
2.92000000e-01, 3.98029200e-07,
3.30000000e-01, 3.39526100e-07,
3.68000000e-01, 5.73497000e-07,
4.06000000e-01, 8.07465400e-07,
4.44000000e-01, 1.39239800e-06,
4.82000000e-01, 2.21131100e-06,
5.20000000e-01, 3.49818700e-06,
5.58000000e-01, 4.49250500e-06,
5.96000000e-01, 5.60381800e-06,
6.34000000e-01, 6.48120000e-06,
6.72000000e-01, 7.35864100e-06,
7.10000000e-01, 7.88520300e-06,
7.48000000e-01, 8.29445600e-06,
7.86000000e-01, 8.93787000e-06,
8.24000000e-01, 9.40588200e-06,
8.62000000e-01, 9.81525100e-06,
9.00000000e-01, 1.05171600e-05,
9.38000000e-01, 1.09267800e-05,
9.76000000e-01, 1.11020800e-05,
1.01400000e+00, 1.14530300e-05,
1.05200000e+00, 1.18624700e-05,
1.09000000e+00, 1.22135300e-05,
1.12800000e+00, 1.27400600e-05,
1.16600000e+00, 1.36759500e-05,
1.20400000e+00, 1.55477300e-05,
1.24200000e+00, 1.81212800e-05,
1.28000000e+00, 2.12213900e-05,
1.31800000e+00, 2.39703400e-05,
1.35600000e+00, 2.61345500e-05,
1.39400000e+00, 2.73631100e-05,
1.43200000e+00, 2.82989900e-05,
1.47000000e+00, 2.91766200e-05,
1.50800000e+00, 3.03464800e-05,
1.54600000e+00, 3.16913000e-05,
