start, 2022-06-23 23:50:19.354992
end, 2022-06-23 23:51:56.613555
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.96743300e-05,
-9.62000000e-01, -3.05306300e-06,
-9.24000000e-01, -1.88321800e-06,
-8.86000000e-01, -1.29828300e-06,
-8.48000000e-01, -8.30320600e-07,
-8.10000000e-01, -5.96355600e-07,
-7.72000000e-01, -1.86904200e-07,
-7.34000000e-01, 4.70679100e-08,
-6.96000000e-01, 4.70679100e-08,
-6.58000000e-01, 2.22548500e-07,
-6.20000000e-01, 1.05560500e-07,
-5.82000000e-01, 1.05560500e-07,
-5.44000000e-01, 2.81040200e-07,
-5.06000000e-01, 1.64052100e-07,
-4.68000000e-01, 2.22547100e-07,
-4.30000000e-01, 1.64051200e-07,
-3.92000000e-01, 1.64053100e-07,
-3.54000000e-01, 3.39530900e-07,
-3.16000000e-01, 2.22544300e-07,
-2.78000000e-01, 3.39533200e-07,
-2.40000000e-01, 1.64051200e-07,
-2.02000000e-01, 2.81040200e-07,
-1.64000000e-01, 3.98029200e-07,
-1.26000000e-01, 2.22547100e-07,
-8.80000000e-02, 1.64053100e-07,
-5.00000000e-02, 2.22545700e-07,
-1.20000000e-02, 2.22547100e-07,
2.60000000e-02, 3.98026300e-07,
6.40000000e-02, 1.64053100e-07,
1.02000000e-01, 2.81040200e-07,
1.40000000e-01, 2.81040200e-07,
1.78000000e-01, 1.64053100e-07,
2.16000000e-01, 1.64054000e-07,
2.54000000e-01, 3.39528500e-07,
2.92000000e-01, 3.98026300e-07,
3.30000000e-01, 3.39535600e-07,
3.68000000e-01, 5.15012400e-07,
4.06000000e-01, 8.65970800e-07,
4.44000000e-01, 1.27542200e-06,
4.82000000e-01, 1.97732300e-06,
5.20000000e-01, 3.14722600e-06,
5.58000000e-01, 4.25850000e-06,
5.96000000e-01, 5.19437400e-06,
6.34000000e-01, 6.36431900e-06,
6.72000000e-01, 7.12472900e-06,
7.10000000e-01, 7.65116700e-06,
7.48000000e-01, 8.29452300e-06,
7.86000000e-01, 8.76239400e-06,
8.24000000e-01, 9.34731500e-06,
8.62000000e-01, 9.87382300e-06,
9.00000000e-01, 1.03417600e-05,
9.38000000e-01, 1.08681100e-05,
9.76000000e-01, 1.11021700e-05,
1.01400000e+00, 1.13361400e-05,
1.05200000e+00, 1.18039800e-05,
1.09000000e+00, 1.21550300e-05,
1.12800000e+00, 1.27400600e-05,
1.16600000e+00, 1.37343300e-05,
1.20400000e+00, 1.57232100e-05,
1.24200000e+00, 1.83552500e-05,
1.28000000e+00, 2.15725200e-05,
1.31800000e+00, 2.43799900e-05,
1.35600000e+00, 2.66612000e-05,
1.39400000e+00, 2.77138400e-05,
1.43200000e+00, 2.87086700e-05,
1.47000000e+00, 2.94688400e-05,
1.50800000e+00, 3.05799500e-05,
1.54600000e+00, 3.17500500e-05,
