start, 2022-06-23 21:06:31.074847
end, 2022-06-23 21:08:08.810437
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.11946500e-05,
-9.62000000e-01, -3.22854200e-06,
-9.24000000e-01, -2.11717500e-06,
-8.86000000e-01, -1.47373900e-06,
-8.48000000e-01, -9.47321700e-07,
-8.10000000e-01, -5.37862400e-07,
-7.72000000e-01, -1.86906100e-07,
-7.34000000e-01, -1.14255900e-08,
-6.96000000e-01, -1.14246500e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 1.64054000e-07,
-5.82000000e-01, 1.05560500e-07,
-5.44000000e-01, 2.81042100e-07,
-5.06000000e-01, 2.22545700e-07,
-4.68000000e-01, 2.81038300e-07,
-4.30000000e-01, 2.81040200e-07,
-3.92000000e-01, 2.22544300e-07,
-3.54000000e-01, 1.64053100e-07,
-3.16000000e-01, 2.81038300e-07,
-2.78000000e-01, 3.98029200e-07,
-2.40000000e-01, 2.81036400e-07,
-2.02000000e-01, 2.81038300e-07,
-1.64000000e-01, 2.22544300e-07,
-1.26000000e-01, 3.39530900e-07,
-8.80000000e-02, 3.39533200e-07,
-5.00000000e-02, 1.05561000e-07,
-1.20000000e-02, 2.22547100e-07,
2.60000000e-02, 1.64053100e-07,
6.40000000e-02, 2.22544300e-07,
1.02000000e-01, 2.81038300e-07,
1.40000000e-01, 2.81038300e-07,
1.78000000e-01, 2.81036400e-07,
2.16000000e-01, 2.22544300e-07,
2.54000000e-01, 3.98023400e-07,
2.92000000e-01, 2.81036400e-07,
3.30000000e-01, 4.56512700e-07,
3.68000000e-01, 5.73497000e-07,
4.06000000e-01, 6.31993800e-07,
4.44000000e-01, 8.65964100e-07,
4.82000000e-01, 1.39240800e-06,
5.20000000e-01, 1.97733900e-06,
5.58000000e-01, 3.03019000e-06,
5.96000000e-01, 3.96607100e-06,
6.34000000e-01, 5.07739000e-06,
6.72000000e-01, 5.95477100e-06,
7.10000000e-01, 7.00768600e-06,
7.48000000e-01, 7.53412000e-06,
7.86000000e-01, 8.23589700e-06,
8.24000000e-01, 8.93801500e-06,
8.62000000e-01, 9.52279100e-06,
9.00000000e-01, 1.00493000e-05,
9.38000000e-01, 1.05173300e-05,
9.76000000e-01, 1.08681100e-05,
1.01400000e+00, 1.11021700e-05,
1.05200000e+00, 1.15118000e-05,
1.09000000e+00, 1.19211600e-05,
1.12800000e+00, 1.25643800e-05,
1.16600000e+00, 1.39684200e-05,
1.20400000e+00, 1.60155500e-05,
1.24200000e+00, 1.92911300e-05,
1.28000000e+00, 2.28589900e-05,
1.31800000e+00, 2.64859300e-05,
1.35600000e+00, 2.91178900e-05,
1.39400000e+00, 3.08141700e-05,
1.43200000e+00, 3.16328100e-05,
1.47000000e+00, 3.24519600e-05,
1.50800000e+00, 3.33290800e-05,
1.54600000e+00, 3.44407100e-05,
