start, 2022-06-23 19:16:01.723669
end, 2022-06-23 19:17:39.471260
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.09021800e-05,
-9.62000000e-01, -3.98895100e-06,
-9.24000000e-01, -2.46811200e-06,
-8.86000000e-01, -1.70772300e-06,
-8.48000000e-01, -1.12279300e-06,
-8.10000000e-01, -8.30320600e-07,
-7.72000000e-01, -3.62380000e-07,
-7.34000000e-01, -2.45397300e-07,
-6.96000000e-01, -1.86904200e-07,
-6.58000000e-01, 1.05560500e-07,
-6.20000000e-01, 2.22547100e-07,
-5.82000000e-01, 1.64055000e-07,
-5.44000000e-01, 2.22545700e-07,
-5.06000000e-01, 2.81038300e-07,
-4.68000000e-01, 2.81038300e-07,
-4.30000000e-01, 2.22545700e-07,
-3.92000000e-01, 2.22544300e-07,
-3.54000000e-01, 2.81034500e-07,
-3.16000000e-01, 3.39530900e-07,
-2.78000000e-01, 4.56519400e-07,
-2.40000000e-01, 3.98020600e-07,
-2.02000000e-01, 1.64051200e-07,
-1.64000000e-01, 3.39530900e-07,
-1.26000000e-01, 3.39533200e-07,
-8.80000000e-02, 2.81038300e-07,
-5.00000000e-02, 2.22544300e-07,
-1.20000000e-02, 2.81036400e-07,
2.60000000e-02, 3.98023400e-07,
6.40000000e-02, 4.56519400e-07,
1.02000000e-01, 3.39528500e-07,
1.40000000e-01, 3.98026300e-07,
1.78000000e-01, 3.98020600e-07,
2.16000000e-01, 3.39530900e-07,
2.54000000e-01, 2.81038300e-07,
2.92000000e-01, 3.39528500e-07,
3.30000000e-01, 4.56519400e-07,
3.68000000e-01, 5.73501200e-07,
4.06000000e-01, 6.31984300e-07,
4.44000000e-01, 8.07477800e-07,
4.82000000e-01, 1.09993400e-06,
5.20000000e-01, 1.62636800e-06,
5.58000000e-01, 2.44526400e-06,
5.96000000e-01, 3.61514500e-06,
6.34000000e-01, 4.66798200e-06,
6.72000000e-01, 5.60381800e-06,
7.10000000e-01, 6.53974500e-06,
7.48000000e-01, 7.35870100e-06,
7.86000000e-01, 8.11898000e-06,
8.24000000e-01, 8.82088500e-06,
8.62000000e-01, 9.46429900e-06,
9.00000000e-01, 1.00493800e-05,
9.38000000e-01, 1.05758200e-05,
9.76000000e-01, 1.10435900e-05,
1.01400000e+00, 1.13360500e-05,
1.05200000e+00, 1.15700100e-05,
1.09000000e+00, 1.21550300e-05,
1.12800000e+00, 1.29738300e-05,
1.16600000e+00, 1.44360100e-05,
1.20400000e+00, 1.70684100e-05,
1.24200000e+00, 2.10459100e-05,
1.28000000e+00, 2.53745700e-05,
1.31800000e+00, 3.02297300e-05,
1.35600000e+00, 3.42067400e-05,
1.39400000e+00, 3.71313700e-05,
1.43200000e+00, 3.84182100e-05,
1.47000000e+00, 3.88273400e-05,
1.50800000e+00, 3.82424200e-05,
1.54600000e+00, 3.64876500e-05,
