start, 2022-06-23 18:12:58.164262
end, 2022-06-23 18:14:33.687726
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -1.32032400e-04,
-9.62000000e-01, -8.37599800e-06,
-9.24000000e-01, -3.81350400e-06,
-8.86000000e-01, -8.30320600e-07,
-8.48000000e-01, 1.04145000e-06,
-8.10000000e-01, 1.91886100e-06,
-7.72000000e-01, 2.62078400e-06,
-7.34000000e-01, 3.03019000e-06,
-6.96000000e-01, 3.26416100e-06,
-6.58000000e-01, 3.26416100e-06,
-6.20000000e-01, 3.14720000e-06,
-5.82000000e-01, 3.20566800e-06,
-5.44000000e-01, 2.97169800e-06,
-5.06000000e-01, 3.08870700e-06,
-4.68000000e-01, 3.03021400e-06,
-4.30000000e-01, 2.97174500e-06,
-3.92000000e-01, 2.79622000e-06,
-3.54000000e-01, 2.85473500e-06,
-3.16000000e-01, 2.73777100e-06,
-2.78000000e-01, 3.08873200e-06,
-2.40000000e-01, 2.97172100e-06,
-2.02000000e-01, 1.27543200e-06,
-1.64000000e-01, 2.67927700e-06,
-1.26000000e-01, 2.62076300e-06,
-8.80000000e-02, 2.56227000e-06,
-5.00000000e-02, 2.56227000e-06,
-1.20000000e-02, 1.04144200e-06,
2.60000000e-02, 1.74336700e-06,
6.40000000e-02, 2.73772700e-06,
1.02000000e-01, 2.79626400e-06,
1.40000000e-01, 2.91325100e-06,
1.78000000e-01, 2.85473500e-06,
2.16000000e-01, 2.32829800e-06,
2.54000000e-01, 3.03021400e-06,
2.92000000e-01, 3.20566800e-06,
3.30000000e-01, 3.26421300e-06,
3.68000000e-01, 3.49815900e-06,
4.06000000e-01, 3.55668000e-06,
4.44000000e-01, 3.73216100e-06,
4.82000000e-01, 3.84908600e-06,
5.20000000e-01, 4.08309000e-06,
5.58000000e-01, 4.14158200e-06,
5.96000000e-01, 4.55099700e-06,
6.34000000e-01, 4.78504400e-06,
6.72000000e-01, 5.01893800e-06,
7.10000000e-01, 5.07743100e-06,
7.48000000e-01, 6.13034700e-06,
7.86000000e-01, 6.30587700e-06,
8.24000000e-01, 6.71522300e-06,
8.62000000e-01, 7.18316400e-06,
9.00000000e-01, 8.00206000e-06,
9.38000000e-01, 9.05492700e-06,
9.76000000e-01, 1.10438500e-05,
1.01400000e+00, 1.34417600e-05,
1.05200000e+00, 1.72440300e-05,
1.09000000e+00, 2.19819700e-05,
1.12800000e+00, 2.91761400e-05,
1.16600000e+00, 4.00560000e-05,
1.20400000e+00, 5.66692800e-05,
1.24200000e+00, 7.53276500e-05,
1.28000000e+00, 9.06543000e-05,
1.31800000e+00, 9.77889900e-05,
1.35600000e+00, 9.66199100e-05,
1.39400000e+00, 9.05358400e-05,
1.43200000e+00, 8.56224300e-05,
1.47000000e+00, 8.07675000e-05,
1.50800000e+00, 8.36329800e-05,
1.54600000e+00, 8.63828400e-05,
