start, 2022-06-23 22:41:03.335281
end, 2022-06-23 22:42:40.533841
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.05522100e-05,
-9.62000000e-01, -3.17004900e-06,
-9.24000000e-01, -2.00018800e-06,
-8.86000000e-01, -1.23978900e-06,
-8.48000000e-01, -7.71827900e-07,
-8.10000000e-01, -4.79369400e-07,
-7.72000000e-01, -2.45399700e-07,
-7.34000000e-01, -1.28412600e-07,
-6.96000000e-01, -6.99191000e-08,
-6.58000000e-01, 1.05561000e-07,
-6.20000000e-01, 1.64054000e-07,
-5.82000000e-01, 1.64055000e-07,
-5.44000000e-01, 4.70679100e-08,
-5.06000000e-01, 2.22545700e-07,
-4.68000000e-01, 2.22545700e-07,
-4.30000000e-01, 1.64053100e-07,
-3.92000000e-01, 2.22545700e-07,
-3.54000000e-01, 2.81036400e-07,
-3.16000000e-01, 3.98026300e-07,
-2.78000000e-01, 2.81038300e-07,
-2.40000000e-01, 2.81038300e-07,
-2.02000000e-01, 2.22545700e-07,
-1.64000000e-01, 2.81036400e-07,
-1.26000000e-01, 1.64052100e-07,
-8.80000000e-02, 2.81036400e-07,
-5.00000000e-02, 3.39530900e-07,
-1.20000000e-02, 4.70679100e-08,
2.60000000e-02, 1.64053100e-07,
6.40000000e-02, 2.22544300e-07,
1.02000000e-01, 2.81038300e-07,
1.40000000e-01, 1.64054000e-07,
1.78000000e-01, 2.81038300e-07,
2.16000000e-01, 2.81036400e-07,
2.54000000e-01, 2.22544300e-07,
2.92000000e-01, 3.98026300e-07,
3.30000000e-01, 4.56516000e-07,
3.68000000e-01, 4.56512700e-07,
4.06000000e-01, 8.07484000e-07,
4.44000000e-01, 1.09994300e-06,
4.82000000e-01, 1.68486000e-06,
5.20000000e-01, 2.56224900e-06,
5.58000000e-01, 3.67363800e-06,
5.96000000e-01, 4.84346000e-06,
6.34000000e-01, 5.72080300e-06,
6.72000000e-01, 6.83237400e-06,
7.10000000e-01, 7.35870100e-06,
7.48000000e-01, 7.94363200e-06,
7.86000000e-01, 8.64554800e-06,
8.24000000e-01, 9.05485400e-06,
8.62000000e-01, 9.75699500e-06,
9.00000000e-01, 1.02248600e-05,
9.38000000e-01, 1.05758200e-05,
9.76000000e-01, 1.11022600e-05,
1.01400000e+00, 1.13362300e-05,
1.05200000e+00, 1.16285100e-05,
1.09000000e+00, 1.20965400e-05,
1.12800000e+00, 1.27399600e-05,
1.16600000e+00, 1.37928300e-05,
1.20400000e+00, 1.56647200e-05,
1.24200000e+00, 1.86478600e-05,
1.28000000e+00, 2.22742500e-05,
1.31800000e+00, 2.50234000e-05,
1.35600000e+00, 2.74220500e-05,
1.39400000e+00, 2.87084400e-05,
1.43200000e+00, 2.95860700e-05,
1.47000000e+00, 3.05217100e-05,
1.50800000e+00, 3.14581000e-05,
1.54600000e+00, 3.26271800e-05,
