start, 2022-06-23 21:19:08.614175
end, 2022-06-23 21:20:46.195757
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.13711200e-05,
-9.62000000e-01, -3.17004900e-06,
-9.24000000e-01, -2.05866400e-06,
-8.86000000e-01, -1.29827200e-06,
-8.48000000e-01, -8.30327600e-07,
-8.10000000e-01, -5.37862400e-07,
-7.72000000e-01, -3.03890300e-07,
-7.34000000e-01, -1.86904200e-07,
-6.96000000e-01, 4.70679100e-08,
-6.58000000e-01, 1.64054000e-07,
-6.20000000e-01, 1.05560000e-07,
-5.82000000e-01, 1.05560000e-07,
-5.44000000e-01, 1.64053100e-07,
-5.06000000e-01, 2.22547100e-07,
-4.68000000e-01, 3.39530900e-07,
-4.30000000e-01, 2.22544300e-07,
-3.92000000e-01, 2.22545700e-07,
-3.54000000e-01, 2.81038300e-07,
-3.16000000e-01, 3.98023400e-07,
-2.78000000e-01, 2.81038300e-07,
-2.40000000e-01, 2.81038300e-07,
-2.02000000e-01, 3.39538000e-07,
-1.64000000e-01, 3.39528500e-07,
-1.26000000e-01, 2.22547100e-07,
-8.80000000e-02, 1.64052100e-07,
-5.00000000e-02, 2.22545700e-07,
-1.20000000e-02, 2.22545700e-07,
2.60000000e-02, 3.39530900e-07,
6.40000000e-02, 2.22547100e-07,
1.02000000e-01, 2.22545700e-07,
1.40000000e-01, 3.39530900e-07,
1.78000000e-01, 2.81040200e-07,
2.16000000e-01, 3.39533200e-07,
2.54000000e-01, 2.22545700e-07,
2.92000000e-01, 3.98023400e-07,
3.30000000e-01, 4.56516000e-07,
3.68000000e-01, 6.31998500e-07,
4.06000000e-01, 6.90486400e-07,
4.44000000e-01, 9.24463800e-07,
4.82000000e-01, 1.27541200e-06,
5.20000000e-01, 2.03583200e-06,
5.58000000e-01, 2.97169800e-06,
5.96000000e-01, 4.08309000e-06,
6.34000000e-01, 5.25295100e-06,
6.72000000e-01, 6.13024800e-06,
7.10000000e-01, 6.94913800e-06,
7.48000000e-01, 7.53405800e-06,
7.86000000e-01, 8.29445600e-06,
8.24000000e-01, 9.05492700e-06,
8.62000000e-01, 9.52279100e-06,
9.00000000e-01, 1.01077900e-05,
9.38000000e-01, 1.05758200e-05,
9.76000000e-01, 1.08680200e-05,
1.01400000e+00, 1.11606600e-05,
1.05200000e+00, 1.16287000e-05,
1.09000000e+00, 1.19795600e-05,
1.12800000e+00, 1.26813700e-05,
1.16600000e+00, 1.40266800e-05,
1.20400000e+00, 1.60152800e-05,
1.24200000e+00, 1.93500900e-05,
1.28000000e+00, 2.28591800e-05,
1.31800000e+00, 2.61930400e-05,
1.35600000e+00, 2.88251900e-05,
1.39400000e+00, 3.02879800e-05,
1.43200000e+00, 3.13403500e-05,
1.47000000e+00, 3.20422600e-05,
1.50800000e+00, 3.28611500e-05,
1.54600000e+00, 3.41485200e-05,
