start, 2022-06-23 22:06:24.316368
end, 2022-06-23 22:08:01.791943
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.07866800e-05,
-9.62000000e-01, -3.17007500e-06,
-9.24000000e-01, -1.94171100e-06,
-8.86000000e-01, -1.35676500e-06,
-8.48000000e-01, -8.88820800e-07,
-8.10000000e-01, -3.03893200e-07,
-7.72000000e-01, -2.45399700e-07,
-7.34000000e-01, -1.28411200e-07,
-6.96000000e-01, -6.99172100e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 1.64053100e-07,
-5.82000000e-01, 1.05560500e-07,
-5.44000000e-01, 4.70679100e-08,
-5.06000000e-01, 1.64052100e-07,
-4.68000000e-01, 2.81038300e-07,
-4.30000000e-01, 2.22545700e-07,
-3.92000000e-01, 2.22545700e-07,
-3.54000000e-01, 3.39530900e-07,
-3.16000000e-01, 3.98029200e-07,
-2.78000000e-01, 2.22545700e-07,
-2.40000000e-01, 3.98029200e-07,
-2.02000000e-01, 2.81038300e-07,
-1.64000000e-01, 2.81038300e-07,
-1.26000000e-01, 1.05560500e-07,
-8.80000000e-02, 1.64052100e-07,
-5.00000000e-02, 1.64051200e-07,
-1.20000000e-02, 1.64053100e-07,
2.60000000e-02, 2.81038300e-07,
6.40000000e-02, 2.22545700e-07,
1.02000000e-01, 2.81038300e-07,
1.40000000e-01, 2.22544300e-07,
1.78000000e-01, 2.81038300e-07,
2.16000000e-01, 2.22545700e-07,
2.54000000e-01, 3.39530900e-07,
2.92000000e-01, 3.98023400e-07,
3.30000000e-01, 2.81036400e-07,
3.68000000e-01, 6.31998500e-07,
4.06000000e-01, 8.07465400e-07,
4.44000000e-01, 9.24456800e-07,
4.82000000e-01, 1.50937100e-06,
5.20000000e-01, 2.38677100e-06,
5.58000000e-01, 3.43972100e-06,
5.96000000e-01, 4.55103400e-06,
6.34000000e-01, 5.60386400e-06,
6.72000000e-01, 6.48125300e-06,
7.10000000e-01, 7.30026700e-06,
7.48000000e-01, 7.88507500e-06,
7.86000000e-01, 8.47000000e-06,
8.24000000e-01, 9.17191200e-06,
8.62000000e-01, 9.52286800e-06,
9.00000000e-01, 1.01077900e-05,
9.38000000e-01, 1.06928100e-05,
9.76000000e-01, 1.08096200e-05,
1.01400000e+00, 1.12192400e-05,
1.05200000e+00, 1.17456800e-05,
1.09000000e+00, 1.22138200e-05,
1.12800000e+00, 1.27986600e-05,
1.16600000e+00, 1.38513200e-05,
1.20400000e+00, 1.57815800e-05,
1.24200000e+00, 1.88233400e-05,
1.28000000e+00, 2.23912400e-05,
1.31800000e+00, 2.57257300e-05,
1.35600000e+00, 2.80067500e-05,
1.39400000e+00, 2.93516200e-05,
1.43200000e+00, 3.01707500e-05,
1.47000000e+00, 3.09896500e-05,
1.50800000e+00, 3.18670400e-05,
1.54600000e+00, 3.30951100e-05,
