start, 2022-06-23 21:22:18.690047
end, 2022-06-23 21:23:56.035615
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.14291100e-05,
-9.62000000e-01, -3.28703500e-06,
-9.24000000e-01, -2.00020500e-06,
-8.86000000e-01, -1.41527000e-06,
-8.48000000e-01, -8.30341800e-07,
-8.10000000e-01, -4.79369400e-07,
-7.72000000e-01, -3.03890300e-07,
-7.34000000e-01, -6.99191000e-08,
-6.96000000e-01, 4.70679100e-08,
-6.58000000e-01, 1.64054000e-07,
-6.20000000e-01, 1.64054000e-07,
-5.82000000e-01, 1.64053100e-07,
-5.44000000e-01, 2.22545700e-07,
-5.06000000e-01, 2.22545700e-07,
-4.68000000e-01, 2.81038300e-07,
-4.30000000e-01, 1.64052100e-07,
-3.92000000e-01, 2.81038300e-07,
-3.54000000e-01, 2.81042100e-07,
-3.16000000e-01, 3.39530900e-07,
-2.78000000e-01, 3.98026300e-07,
-2.40000000e-01, 2.81036400e-07,
-2.02000000e-01, 2.22547100e-07,
-1.64000000e-01, 3.98026300e-07,
-1.26000000e-01, 3.98029200e-07,
-8.80000000e-02, 3.98023400e-07,
-5.00000000e-02, 1.64053100e-07,
-1.20000000e-02, 2.81036400e-07,
2.60000000e-02, 2.22545700e-07,
6.40000000e-02, 1.64053100e-07,
1.02000000e-01, 2.81036400e-07,
1.40000000e-01, 1.64052100e-07,
1.78000000e-01, 1.64052100e-07,
2.16000000e-01, 2.22545700e-07,
2.54000000e-01, 3.39528500e-07,
2.92000000e-01, 2.81036400e-07,
3.30000000e-01, 3.98017700e-07,
3.68000000e-01, 5.15004800e-07,
4.06000000e-01, 7.48979000e-07,
4.44000000e-01, 9.24463800e-07,
4.82000000e-01, 1.27541200e-06,
5.20000000e-01, 2.03581600e-06,
5.58000000e-01, 3.03021400e-06,
5.96000000e-01, 4.08309000e-06,
6.34000000e-01, 5.31144400e-06,
6.72000000e-01, 6.18874000e-06,
7.10000000e-01, 7.06612200e-06,
7.48000000e-01, 7.59261200e-06,
7.86000000e-01, 8.23603100e-06,
8.24000000e-01, 8.93794200e-06,
8.62000000e-01, 9.46437500e-06,
9.00000000e-01, 1.01662900e-05,
9.38000000e-01, 1.06927200e-05,
9.76000000e-01, 1.08097000e-05,
1.01400000e+00, 1.11019900e-05,
1.05200000e+00, 1.15116200e-05,
1.09000000e+00, 1.20965400e-05,
1.12800000e+00, 1.26229800e-05,
1.16600000e+00, 1.37926000e-05,
1.20400000e+00, 1.60741700e-05,
1.24200000e+00, 1.91741500e-05,
1.28000000e+00, 2.26837000e-05,
1.31800000e+00, 2.61347600e-05,
1.35600000e+00, 2.87669300e-05,
1.39400000e+00, 3.02882300e-05,
1.43200000e+00, 3.12821100e-05,
1.47000000e+00, 3.21012700e-05,
1.50800000e+00, 3.30366200e-05,
1.54600000e+00, 3.40892000e-05,
