start, 2022-06-23 18:16:04.325910
end, 2022-06-23 18:17:42.532527
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.73423300e-04,
-9.62000000e-01, -1.60386500e-05,
-9.24000000e-01, -1.25875300e-05,
-8.86000000e-01, -1.01893800e-05,
-8.48000000e-01, -9.01950000e-06,
-8.10000000e-01, -8.25894300e-06,
-7.72000000e-01, -7.61558200e-06,
-7.34000000e-01, -7.73250600e-06,
-6.96000000e-01, -7.32323500e-06,
-6.58000000e-01, -7.38160900e-06,
-6.20000000e-01, -7.44010100e-06,
-5.82000000e-01, -7.44010100e-06,
-5.44000000e-01, -7.44010100e-06,
-5.06000000e-01, -7.38160900e-06,
-4.68000000e-01, -7.61552000e-06,
-4.30000000e-01, -7.67407500e-06,
-3.92000000e-01, -7.61558200e-06,
-3.54000000e-01, -7.61552000e-06,
-3.16000000e-01, -7.67401300e-06,
-2.78000000e-01, -7.49853400e-06,
-2.40000000e-01, -7.49853400e-06,
-2.02000000e-01, -9.07784500e-06,
-1.64000000e-01, -7.14757600e-06,
-1.26000000e-01, -6.79661800e-06,
-8.80000000e-02, -6.50415200e-06,
-5.00000000e-02, -6.09470100e-06,
-1.20000000e-02, -7.49859500e-06,
2.60000000e-02, -5.27579900e-06,
6.40000000e-02, -1.53225700e-06,
1.02000000e-01, 1.62636800e-06,
1.40000000e-01, 4.31709600e-06,
1.78000000e-01, 5.89632700e-06,
2.16000000e-01, 4.72651300e-06,
2.54000000e-01, 7.35864100e-06,
2.92000000e-01, 7.47562700e-06,
3.30000000e-01, 7.76809000e-06,
3.68000000e-01, 8.06061800e-06,
4.06000000e-01, 8.11904600e-06,
4.44000000e-01, 8.29452300e-06,
4.82000000e-01, 8.64547900e-06,
5.20000000e-01, 8.46993300e-06,
5.58000000e-01, 8.64561900e-06,
5.96000000e-01, 8.93808600e-06,
6.34000000e-01, 8.99636100e-06,
6.72000000e-01, 9.87390400e-06,
7.10000000e-01, 1.08682900e-05,
7.48000000e-01, 1.20381500e-05,
7.86000000e-01, 1.28569500e-05,
8.24000000e-01, 1.33248900e-05,
8.62000000e-01, 1.34417600e-05,
9.00000000e-01, 1.38514300e-05,
9.38000000e-01, 1.39683100e-05,
9.76000000e-01, 1.41437800e-05,
1.01400000e+00, 1.42023900e-05,
1.05200000e+00, 1.46120800e-05,
1.09000000e+00, 1.52552700e-05,
1.12800000e+00, 1.71267700e-05,
1.16600000e+00, 2.20404600e-05,
1.20400000e+00, 3.17505700e-05,
1.24200000e+00, 4.44429400e-05,
1.28000000e+00, 5.60249300e-05,
1.31800000e+00, 6.29851000e-05,
1.35600000e+00, 6.42139600e-05,
1.39400000e+00, 6.19902200e-05,
1.43200000e+00, 5.99429900e-05,
1.47000000e+00, 5.90660900e-05,
1.50800000e+00, 5.98264900e-05,
1.54600000e+00, 6.25166500e-05,
