start, 2022-06-23 23:59:47.427484
end, 2022-06-24 00:01:24.652045
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.94993300e-05,
-9.62000000e-01, -3.17007500e-06,
-9.24000000e-01, -1.94171100e-06,
-8.86000000e-01, -1.23978900e-06,
-8.48000000e-01, -6.54854300e-07,
-8.10000000e-01, -4.79373700e-07,
-7.72000000e-01, -1.28412600e-07,
-7.34000000e-01, -1.14251300e-08,
-6.96000000e-01, 1.05560500e-07,
-6.58000000e-01, -6.99162600e-08,
-6.20000000e-01, 1.64054000e-07,
-5.82000000e-01, 4.70679100e-08,
-5.44000000e-01, 2.22545700e-07,
-5.06000000e-01, 2.22547100e-07,
-4.68000000e-01, 1.64054000e-07,
-4.30000000e-01, 2.22544300e-07,
-3.92000000e-01, 2.22544300e-07,
-3.54000000e-01, 3.39530900e-07,
-3.16000000e-01, 2.81038300e-07,
-2.78000000e-01, 3.39533200e-07,
-2.40000000e-01, 2.81040200e-07,
-2.02000000e-01, -1.14246500e-08,
-1.64000000e-01, 3.39533200e-07,
-1.26000000e-01, 2.22545700e-07,
-8.80000000e-02, 1.05560500e-07,
-5.00000000e-02, 2.22547100e-07,
-1.20000000e-02, 4.70679100e-08,
2.60000000e-02, 1.05560500e-07,
6.40000000e-02, 2.22545700e-07,
1.02000000e-01, 2.81042100e-07,
1.40000000e-01, 2.81040200e-07,
1.78000000e-01, 2.81038300e-07,
2.16000000e-01, 2.22545700e-07,
2.54000000e-01, 2.81036400e-07,
2.92000000e-01, 2.22545700e-07,
3.30000000e-01, 3.39530900e-07,
3.68000000e-01, 5.15012400e-07,
4.06000000e-01, 7.48984700e-07,
4.44000000e-01, 1.27541200e-06,
4.82000000e-01, 2.09432500e-06,
5.20000000e-01, 3.08868300e-06,
5.58000000e-01, 4.20004200e-06,
5.96000000e-01, 5.25290900e-06,
6.34000000e-01, 6.30577500e-06,
6.72000000e-01, 7.06623500e-06,
7.10000000e-01, 7.65122900e-06,
7.48000000e-01, 8.29445600e-06,
7.86000000e-01, 8.82095600e-06,
8.24000000e-01, 9.40588200e-06,
8.62000000e-01, 9.87390400e-06,
9.00000000e-01, 1.03417600e-05,
9.38000000e-01, 1.08683700e-05,
9.76000000e-01, 1.11606600e-05,
1.01400000e+00, 1.13946300e-05,
1.05200000e+00, 1.17455900e-05,
1.09000000e+00, 1.20965400e-05,
1.12800000e+00, 1.27398600e-05,
1.16600000e+00, 1.36757300e-05,
1.20400000e+00, 1.56062200e-05,
1.24200000e+00, 1.83554000e-05,
1.28000000e+00, 2.14553600e-05,
1.31800000e+00, 2.43799900e-05,
1.35600000e+00, 2.64272300e-05,
1.39400000e+00, 2.77730100e-05,
1.43200000e+00, 2.84742400e-05,
1.47000000e+00, 2.95273300e-05,
1.50800000e+00, 3.06389400e-05,
1.54600000e+00, 3.18088100e-05,
