start, 2022-06-23 23:12:32.421331
end, 2022-06-23 23:14:09.863904
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.01427600e-05,
-9.62000000e-01, -3.11158200e-06,
-9.24000000e-01, -2.00017200e-06,
-8.86000000e-01, -1.29828300e-06,
-8.48000000e-01, -8.30320600e-07,
-8.10000000e-01, -4.79369400e-07,
-7.72000000e-01, -1.86906100e-07,
-7.34000000e-01, -1.28409800e-07,
-6.96000000e-01, 4.70679100e-08,
-6.58000000e-01, -1.14251300e-08,
-6.20000000e-01, 1.05560500e-07,
-5.82000000e-01, 4.70679100e-08,
-5.44000000e-01, 1.64052100e-07,
-5.06000000e-01, 1.64054000e-07,
-4.68000000e-01, 1.64054000e-07,
-4.30000000e-01, 1.64051200e-07,
-3.92000000e-01, 2.22547100e-07,
-3.54000000e-01, 2.81040200e-07,
-3.16000000e-01, 4.56519400e-07,
-2.78000000e-01, 2.81038300e-07,
-2.40000000e-01, 2.81040200e-07,
-2.02000000e-01, 2.22548500e-07,
-1.64000000e-01, 2.22544300e-07,
-1.26000000e-01, 2.81040200e-07,
-8.80000000e-02, 2.22545700e-07,
-5.00000000e-02, 2.22545700e-07,
-1.20000000e-02, 1.64054000e-07,
2.60000000e-02, 3.39530900e-07,
6.40000000e-02, 1.64054000e-07,
1.02000000e-01, 1.64053100e-07,
1.40000000e-01, 2.81040200e-07,
1.78000000e-01, 1.05560500e-07,
2.16000000e-01, 1.64053100e-07,
2.54000000e-01, 1.05560500e-07,
2.92000000e-01, 2.22545700e-07,
3.30000000e-01, 4.56512700e-07,
3.68000000e-01, 5.15004800e-07,
4.06000000e-01, 8.07477800e-07,
4.44000000e-01, 1.09994300e-06,
4.82000000e-01, 1.80184600e-06,
5.20000000e-01, 2.85473500e-06,
5.58000000e-01, 3.96610300e-06,
5.96000000e-01, 5.01901900e-06,
6.34000000e-01, 6.07180500e-06,
6.72000000e-01, 7.00768600e-06,
7.10000000e-01, 7.47574800e-06,
7.48000000e-01, 8.11904600e-06,
7.86000000e-01, 8.64547900e-06,
8.24000000e-01, 9.34739000e-06,
8.62000000e-01, 9.75675900e-06,
9.00000000e-01, 1.02832700e-05,
9.38000000e-01, 1.08097000e-05,
9.76000000e-01, 1.11606600e-05,
1.01400000e+00, 1.13361400e-05,
1.05200000e+00, 1.18041700e-05,
1.09000000e+00, 1.21552300e-05,
1.12800000e+00, 1.26229800e-05,
1.16600000e+00, 1.37927200e-05,
1.20400000e+00, 1.56062200e-05,
1.24200000e+00, 1.84720800e-05,
1.28000000e+00, 2.19817900e-05,
1.31800000e+00, 2.47307400e-05,
1.35600000e+00, 2.68951700e-05,
1.39400000e+00, 2.81820000e-05,
1.43200000e+00, 2.91183600e-05,
1.47000000e+00, 3.00537700e-05,
1.50800000e+00, 3.10481400e-05,
1.54600000e+00, 3.23937300e-05,
