start, 2022-06-24 00:43:51.643724
end, 2022-06-24 00:45:28.969291
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.87983600e-05,
-9.62000000e-01, -3.05308800e-06,
-9.24000000e-01, -1.88320200e-06,
-8.86000000e-01, -1.18129600e-06,
-8.48000000e-01, -7.71834600e-07,
-8.10000000e-01, -4.20880200e-07,
-7.72000000e-01, -1.86904200e-07,
-7.34000000e-01, 4.70679100e-08,
-6.96000000e-01, 4.70679100e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 4.70679100e-08,
-5.82000000e-01, 4.70679100e-08,
-5.44000000e-01, 2.81042100e-07,
-5.06000000e-01, 3.39530900e-07,
-4.68000000e-01, 1.64054000e-07,
-4.30000000e-01, 2.22545700e-07,
-3.92000000e-01, 1.05561000e-07,
-3.54000000e-01, 2.81040200e-07,
-3.16000000e-01, 3.98029200e-07,
-2.78000000e-01, 1.64052100e-07,
-2.40000000e-01, 2.22544300e-07,
-2.02000000e-01, 1.64054000e-07,
-1.64000000e-01, 2.22545700e-07,
-1.26000000e-01, 1.64053100e-07,
-8.80000000e-02, 1.64053100e-07,
-5.00000000e-02, 1.64054000e-07,
-1.20000000e-02, 2.22545700e-07,
2.60000000e-02, 1.64055000e-07,
6.40000000e-02, 1.05560500e-07,
1.02000000e-01, 2.22547100e-07,
1.40000000e-01, 2.22545700e-07,
1.78000000e-01, 2.22545700e-07,
2.16000000e-01, 1.64052100e-07,
2.54000000e-01, 1.64053100e-07,
2.92000000e-01, 2.81036400e-07,
3.30000000e-01, 3.98029200e-07,
3.68000000e-01, 5.15008700e-07,
4.06000000e-01, 8.65964100e-07,
4.44000000e-01, 1.39240800e-06,
4.82000000e-01, 2.15280100e-06,
5.20000000e-01, 3.26413400e-06,
5.58000000e-01, 4.43401200e-06,
5.96000000e-01, 5.54532700e-06,
6.34000000e-01, 6.48125300e-06,
6.72000000e-01, 7.35864100e-06,
7.10000000e-01, 7.76809000e-06,
7.48000000e-01, 8.35301600e-06,
7.86000000e-01, 8.93808600e-06,
8.24000000e-01, 9.28882200e-06,
8.62000000e-01, 1.00493800e-05,
9.00000000e-01, 1.05172400e-05,
9.38000000e-01, 1.08097900e-05,
9.76000000e-01, 1.11606600e-05,
1.01400000e+00, 1.14532200e-05,
1.05200000e+00, 1.17455900e-05,
1.09000000e+00, 1.22137300e-05,
1.12800000e+00, 1.26229800e-05,
1.16600000e+00, 1.36759500e-05,
1.20400000e+00, 1.54891100e-05,
1.24200000e+00, 1.80626400e-05,
1.28000000e+00, 2.13385400e-05,
1.31800000e+00, 2.40290300e-05,
1.35600000e+00, 2.61347600e-05,
1.39400000e+00, 2.73631100e-05,
1.43200000e+00, 2.82405000e-05,
1.47000000e+00, 2.91176500e-05,
1.50800000e+00, 3.01122600e-05,
1.54600000e+00, 3.14578500e-05,
