start, 2022-06-23 22:18:59.464560
end, 2022-06-23 22:20:36.887132
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.04937200e-05,
-9.62000000e-01, -3.28706200e-06,
-9.24000000e-01, -2.00017200e-06,
-8.86000000e-01, -1.29828300e-06,
-8.48000000e-01, -7.71834600e-07,
-8.10000000e-01, -5.37862400e-07,
-7.72000000e-01, -3.03890300e-07,
-7.34000000e-01, 4.70679100e-08,
-6.96000000e-01, 4.70679100e-08,
-6.58000000e-01, 1.05561000e-07,
-6.20000000e-01, 4.70679100e-08,
-5.82000000e-01, 1.64053100e-07,
-5.44000000e-01, 2.22547100e-07,
-5.06000000e-01, 1.05561000e-07,
-4.68000000e-01, 2.22544300e-07,
-4.30000000e-01, 2.22547100e-07,
-3.92000000e-01, 2.81036400e-07,
-3.54000000e-01, 1.64053100e-07,
-3.16000000e-01, 3.39530900e-07,
-2.78000000e-01, 2.81036400e-07,
-2.40000000e-01, 3.98026300e-07,
-2.02000000e-01, 1.64053100e-07,
-1.64000000e-01, 2.81036400e-07,
-1.26000000e-01, 2.81038300e-07,
-8.80000000e-02, 2.22545700e-07,
-5.00000000e-02, 1.64053100e-07,
-1.20000000e-02, 1.05560500e-07,
2.60000000e-02, 2.81040200e-07,
6.40000000e-02, 2.22545700e-07,
1.02000000e-01, 3.39533200e-07,
1.40000000e-01, 2.22545700e-07,
1.78000000e-01, 2.22545700e-07,
2.16000000e-01, 2.81038300e-07,
2.54000000e-01, 3.98023400e-07,
2.92000000e-01, 3.39526100e-07,
3.30000000e-01, 4.56512700e-07,
3.68000000e-01, 5.15008700e-07,
4.06000000e-01, 7.48979000e-07,
4.44000000e-01, 1.04145000e-06,
4.82000000e-01, 1.50938300e-06,
5.20000000e-01, 2.44526400e-06,
5.58000000e-01, 3.55665200e-06,
5.96000000e-01, 4.72651300e-06,
6.34000000e-01, 5.60386400e-06,
6.72000000e-01, 6.48120000e-06,
7.10000000e-01, 7.41713400e-06,
7.48000000e-01, 8.00212500e-06,
7.86000000e-01, 8.52849500e-06,
8.24000000e-01, 9.17191200e-06,
8.62000000e-01, 9.63985300e-06,
9.00000000e-01, 1.02248600e-05,
9.38000000e-01, 1.06928100e-05,
9.76000000e-01, 1.09851800e-05,
1.01400000e+00, 1.11605700e-05,
1.05200000e+00, 1.16285100e-05,
1.09000000e+00, 1.19796500e-05,
1.12800000e+00, 1.26814700e-05,
1.16600000e+00, 1.37928300e-05,
1.20400000e+00, 1.57817000e-05,
1.24200000e+00, 1.88815300e-05,
1.28000000e+00, 2.22157600e-05,
1.31800000e+00, 2.54913400e-05,
1.35600000e+00, 2.76553500e-05,
1.39400000e+00, 2.89424100e-05,
1.43200000e+00, 2.99367800e-05,
1.47000000e+00, 3.06386900e-05,
1.50800000e+00, 3.16915600e-05,
1.54600000e+00, 3.30371600e-05,
