start, 2022-06-23 23:56:37.963647
end, 2022-06-23 23:58:15.303215
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.94408400e-05,
-9.62000000e-01, -3.11155600e-06,
-9.24000000e-01, -1.94167900e-06,
-8.86000000e-01, -1.12279300e-06,
-8.48000000e-01, -6.54859900e-07,
-8.10000000e-01, -3.62390000e-07,
-7.72000000e-01, -1.86906100e-07,
-7.34000000e-01, -1.86906100e-07,
-6.96000000e-01, -6.99191000e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 1.05560000e-07,
-5.82000000e-01, 1.05560500e-07,
-5.44000000e-01, 1.05561000e-07,
-5.06000000e-01, 1.64053100e-07,
-4.68000000e-01, 1.05560500e-07,
-4.30000000e-01, 1.64054000e-07,
-3.92000000e-01, 2.22548500e-07,
-3.54000000e-01, 2.22545700e-07,
-3.16000000e-01, 2.81038300e-07,
-2.78000000e-01, 1.64054000e-07,
-2.40000000e-01, 2.22545700e-07,
-2.02000000e-01, 2.81040200e-07,
-1.64000000e-01, 2.22547100e-07,
-1.26000000e-01, 2.22545700e-07,
-8.80000000e-02, 1.05560500e-07,
-5.00000000e-02, 2.81038300e-07,
-1.20000000e-02, 1.05560000e-07,
2.60000000e-02, 2.22545700e-07,
6.40000000e-02, 1.64053100e-07,
1.02000000e-01, 2.22545700e-07,
1.40000000e-01, 2.81038300e-07,
1.78000000e-01, 2.22547100e-07,
2.16000000e-01, 2.22547100e-07,
2.54000000e-01, 3.39533200e-07,
2.92000000e-01, 3.98023400e-07,
3.30000000e-01, 3.98026300e-07,
3.68000000e-01, 5.73505500e-07,
4.06000000e-01, 7.48979000e-07,
4.44000000e-01, 1.33390500e-06,
4.82000000e-01, 2.09430900e-06,
5.20000000e-01, 3.03019000e-06,
5.58000000e-01, 4.25850000e-06,
5.96000000e-01, 5.42843000e-06,
6.34000000e-01, 6.30582600e-06,
6.72000000e-01, 7.18322200e-06,
7.10000000e-01, 7.65110400e-06,
7.48000000e-01, 8.35308400e-06,
7.86000000e-01, 8.93801500e-06,
8.24000000e-01, 9.28889800e-06,
8.62000000e-01, 9.99088900e-06,
9.00000000e-01, 1.02832700e-05,
9.38000000e-01, 1.07512100e-05,
9.76000000e-01, 1.11023500e-05,
1.01400000e+00, 1.13945400e-05,
1.05200000e+00, 1.16286000e-05,
1.09000000e+00, 1.21551300e-05,
1.12800000e+00, 1.26229800e-05,
1.16600000e+00, 1.36174600e-05,
1.20400000e+00, 1.55476000e-05,
1.24200000e+00, 1.84138900e-05,
1.28000000e+00, 2.16895000e-05,
1.31800000e+00, 2.43216900e-05,
1.35600000e+00, 2.64855000e-05,
1.39400000e+00, 2.78897700e-05,
1.43200000e+00, 2.88841500e-05,
1.47000000e+00, 2.95273300e-05,
1.50800000e+00, 3.06389400e-05,
1.54600000e+00, 3.17500500e-05,
