start, 2022-06-23 21:00:12.629201
end, 2022-06-23 21:01:50.153779
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.13126300e-05,
-9.62000000e-01, -3.34555600e-06,
-9.24000000e-01, -2.11719200e-06,
-8.86000000e-01, -1.41525800e-06,
-8.48000000e-01, -9.47321700e-07,
-8.10000000e-01, -5.37867200e-07,
-7.72000000e-01, -3.62380000e-07,
-7.34000000e-01, 4.70679100e-08,
-6.96000000e-01, 1.05560000e-07,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 4.70679100e-08,
-5.82000000e-01, 2.22547100e-07,
-5.44000000e-01, 1.64053100e-07,
-5.06000000e-01, 1.64053100e-07,
-4.68000000e-01, 3.98026300e-07,
-4.30000000e-01, 2.22545700e-07,
-3.92000000e-01, 2.81036400e-07,
-3.54000000e-01, 2.81036400e-07,
-3.16000000e-01, 3.39530900e-07,
-2.78000000e-01, 5.15012400e-07,
-2.40000000e-01, 3.39528500e-07,
-2.02000000e-01, 2.81036400e-07,
-1.64000000e-01, 3.39530900e-07,
-1.26000000e-01, 2.22544300e-07,
-8.80000000e-02, 3.39530900e-07,
-5.00000000e-02, 1.64051200e-07,
-1.20000000e-02, 1.64054000e-07,
2.60000000e-02, 2.22545700e-07,
6.40000000e-02, 2.81038300e-07,
1.02000000e-01, 2.22542800e-07,
1.40000000e-01, 2.81038300e-07,
1.78000000e-01, 1.05559600e-07,
2.16000000e-01, 3.39528500e-07,
2.54000000e-01, 3.39530900e-07,
2.92000000e-01, 3.39530900e-07,
3.30000000e-01, 4.56519400e-07,
3.68000000e-01, 5.73505500e-07,
4.06000000e-01, 6.31993800e-07,
4.44000000e-01, 9.24456800e-07,
4.82000000e-01, 1.33390500e-06,
5.20000000e-01, 1.97730800e-06,
5.58000000e-01, 2.97167400e-06,
5.96000000e-01, 3.84905500e-06,
6.34000000e-01, 5.07743100e-06,
6.72000000e-01, 6.07175600e-06,
7.10000000e-01, 6.94919300e-06,
7.48000000e-01, 7.65110400e-06,
7.86000000e-01, 8.29445600e-06,
8.24000000e-01, 8.82088500e-06,
8.62000000e-01, 9.46452800e-06,
9.00000000e-01, 1.01662900e-05,
9.38000000e-01, 1.04587500e-05,
9.76000000e-01, 1.08096200e-05,
1.01400000e+00, 1.11021700e-05,
1.05200000e+00, 1.16286000e-05,
1.09000000e+00, 1.20379500e-05,
1.12800000e+00, 1.27985600e-05,
1.16600000e+00, 1.39099200e-05,
1.20400000e+00, 1.61911600e-05,
1.24200000e+00, 1.94081200e-05,
1.28000000e+00, 2.29178600e-05,
1.31800000e+00, 2.66029200e-05,
1.35600000e+00, 2.93518600e-05,
1.39400000e+00, 3.09314100e-05,
1.43200000e+00, 3.19840200e-05,
1.47000000e+00, 3.26856700e-05,
1.50800000e+00, 3.34460700e-05,
1.54600000e+00, 3.46746800e-05,
