start, 2022-06-23 20:25:29.462050
end, 2022-06-23 20:27:07.275645
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.18965600e-05,
-9.62000000e-01, -3.69645600e-06,
-9.24000000e-01, -2.35112700e-06,
-8.86000000e-01, -1.47376300e-06,
-8.48000000e-01, -1.00580700e-06,
-8.10000000e-01, -7.13341600e-07,
-7.72000000e-01, -4.20872600e-07,
-7.34000000e-01, -3.03887400e-07,
-6.96000000e-01, -1.14251300e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 1.05560500e-07,
-5.82000000e-01, 1.64052100e-07,
-5.44000000e-01, 2.81040200e-07,
-5.06000000e-01, 1.05560000e-07,
-4.68000000e-01, 1.64053100e-07,
-4.30000000e-01, 3.39533200e-07,
-3.92000000e-01, 3.39533200e-07,
-3.54000000e-01, 2.81040200e-07,
-3.16000000e-01, 2.81038300e-07,
-2.78000000e-01, 2.81038300e-07,
-2.40000000e-01, 3.39530900e-07,
-2.02000000e-01, 2.81040200e-07,
-1.64000000e-01, 2.81038300e-07,
-1.26000000e-01, 2.22544300e-07,
-8.80000000e-02, 2.22544300e-07,
-5.00000000e-02, 1.64053100e-07,
-1.20000000e-02, 2.81040200e-07,
2.60000000e-02, 2.81038300e-07,
6.40000000e-02, 2.22545700e-07,
1.02000000e-01, 2.81038300e-07,
1.40000000e-01, 1.05560500e-07,
1.78000000e-01, 3.39533200e-07,
2.16000000e-01, 1.05560500e-07,
2.54000000e-01, 2.81038300e-07,
2.92000000e-01, 3.98023400e-07,
3.30000000e-01, 3.39528500e-07,
3.68000000e-01, 4.56519400e-07,
4.06000000e-01, 6.90491700e-07,
4.44000000e-01, 7.48979000e-07,
4.82000000e-01, 1.09992600e-06,
5.20000000e-01, 1.56787500e-06,
5.58000000e-01, 2.50377700e-06,
5.96000000e-01, 3.43963800e-06,
6.34000000e-01, 4.60949000e-06,
6.72000000e-01, 5.54541600e-06,
7.10000000e-01, 6.53974500e-06,
7.48000000e-01, 7.47562700e-06,
7.86000000e-01, 8.11904600e-06,
8.24000000e-01, 8.70390200e-06,
8.62000000e-01, 9.34739000e-06,
9.00000000e-01, 9.93231600e-06,
9.38000000e-01, 1.04588300e-05,
9.76000000e-01, 1.06926300e-05,
1.01400000e+00, 1.10435900e-05,
1.05200000e+00, 1.15700100e-05,
1.09000000e+00, 1.20965400e-05,
1.12800000e+00, 1.27984500e-05,
1.16600000e+00, 1.40851800e-05,
1.20400000e+00, 1.65419800e-05,
1.24200000e+00, 1.98175600e-05,
1.28000000e+00, 2.35610900e-05,
1.31800000e+00, 2.73628900e-05,
1.35600000e+00, 3.04047200e-05,
1.39400000e+00, 3.21595000e-05,
1.43200000e+00, 3.32708600e-05,
1.47000000e+00, 3.38555100e-05,
1.50800000e+00, 3.47328900e-05,
1.54600000e+00, 3.54350900e-05,
