start, 2022-06-23 19:06:31.416050
end, 2022-06-23 19:08:09.175641
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.11361500e-05,
-9.62000000e-01, -3.98898500e-06,
-9.24000000e-01, -2.52660500e-06,
-8.86000000e-01, -1.64923000e-06,
-8.48000000e-01, -1.12278300e-06,
-8.10000000e-01, -5.96355600e-07,
-7.72000000e-01, -4.20868800e-07,
-7.34000000e-01, -1.28411200e-07,
-6.96000000e-01, -1.28411200e-07,
-6.58000000e-01, -1.14251300e-08,
-6.20000000e-01, 4.70679100e-08,
-5.82000000e-01, 2.22547100e-07,
-5.44000000e-01, 2.22547100e-07,
-5.06000000e-01, 2.22545700e-07,
-4.68000000e-01, 2.81040200e-07,
-4.30000000e-01, 1.64052100e-07,
-3.92000000e-01, 2.22545700e-07,
-3.54000000e-01, 3.39528500e-07,
-3.16000000e-01, 3.39530900e-07,
-2.78000000e-01, 3.98023400e-07,
-2.40000000e-01, 3.39533200e-07,
-2.02000000e-01, 2.81040200e-07,
-1.64000000e-01, 3.39528500e-07,
-1.26000000e-01, 2.81040200e-07,
-8.80000000e-02, 4.56519400e-07,
-5.00000000e-02, 2.22544300e-07,
-1.20000000e-02, 2.81038300e-07,
2.60000000e-02, 1.64053100e-07,
6.40000000e-02, 3.98023400e-07,
1.02000000e-01, 2.81038300e-07,
1.40000000e-01, 2.81036400e-07,
1.78000000e-01, 2.81038300e-07,
2.16000000e-01, 2.22545700e-07,
2.54000000e-01, 3.98017700e-07,
2.92000000e-01, 5.15012400e-07,
3.30000000e-01, 4.56512700e-07,
3.68000000e-01, 3.98020600e-07,
4.06000000e-01, 5.73501200e-07,
4.44000000e-01, 7.48984700e-07,
4.82000000e-01, 1.04145000e-06,
5.20000000e-01, 1.62635500e-06,
5.58000000e-01, 2.56224900e-06,
5.96000000e-01, 3.61514500e-06,
6.34000000e-01, 4.60945300e-06,
6.72000000e-01, 5.66235600e-06,
7.10000000e-01, 6.53969300e-06,
7.48000000e-01, 7.35858200e-06,
7.86000000e-01, 8.29452300e-06,
8.24000000e-01, 8.93808600e-06,
8.62000000e-01, 9.63993100e-06,
9.00000000e-01, 1.01077100e-05,
9.38000000e-01, 1.07513000e-05,
9.76000000e-01, 1.09850900e-05,
1.01400000e+00, 1.12776500e-05,
1.05200000e+00, 1.18625700e-05,
1.09000000e+00, 1.23304100e-05,
1.12800000e+00, 1.31494100e-05,
1.16600000e+00, 1.46116100e-05,
1.20400000e+00, 1.73022400e-05,
1.24200000e+00, 2.12210400e-05,
1.28000000e+00, 2.56666100e-05,
1.31800000e+00, 3.07559300e-05,
1.35600000e+00, 3.50838500e-05,
1.39400000e+00, 3.81842400e-05,
1.43200000e+00, 3.95877400e-05,
1.47000000e+00, 3.98217100e-05,
1.50800000e+00, 3.86521800e-05,
1.54600000e+00, 3.51426200e-05,
