start, 2022-06-23 18:22:22.794557
end, 2022-06-23 18:24:01.117181
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.89474500e-04,
-9.62000000e-01, -1.80857700e-05,
-9.24000000e-01, -1.44593200e-05,
-8.86000000e-01, -1.24704400e-05,
-8.48000000e-01, -1.13590700e-05,
-8.10000000e-01, -1.04816800e-05,
-7.72000000e-01, -9.72134900e-06,
-7.34000000e-01, -9.19475700e-06,
-6.96000000e-01, -8.84394600e-06,
-6.58000000e-01, -8.96093200e-06,
-6.20000000e-01, -9.01935300e-06,
-5.82000000e-01, -9.25340000e-06,
-5.44000000e-01, -9.42880300e-06,
-5.06000000e-01, -9.48737400e-06,
-4.68000000e-01, -9.77976200e-06,
-4.30000000e-01, -9.95524200e-06,
-3.92000000e-01, -9.77976200e-06,
-3.54000000e-01, -9.89682800e-06,
-3.16000000e-01, -9.54594600e-06,
-2.78000000e-01, -9.66269700e-06,
-2.40000000e-01, -9.54586800e-06,
-2.02000000e-01, -1.17684300e-05,
-1.64000000e-01, -9.01942600e-06,
-1.26000000e-01, -8.72695900e-06,
-8.80000000e-02, -8.31743600e-06,
-5.00000000e-02, -7.55715100e-06,
-1.20000000e-02, -8.78538000e-06,
2.60000000e-02, -5.27579900e-06,
6.40000000e-02, 1.64053100e-07,
1.02000000e-01, 3.84905500e-06,
1.40000000e-01, 6.71516900e-06,
1.78000000e-01, 8.29459100e-06,
2.16000000e-01, 7.24165600e-06,
2.54000000e-01, 9.87390400e-06,
2.92000000e-01, 1.03418500e-05,
3.30000000e-01, 1.06342300e-05,
3.68000000e-01, 1.08682000e-05,
4.06000000e-01, 1.11022600e-05,
4.44000000e-01, 1.13362300e-05,
4.82000000e-01, 1.14529400e-05,
5.20000000e-01, 1.15116200e-05,
5.58000000e-01, 1.16870900e-05,
5.96000000e-01, 1.20965400e-05,
6.34000000e-01, 1.32663900e-05,
6.72000000e-01, 1.53721300e-05,
7.10000000e-01, 1.80629300e-05,
7.48000000e-01, 1.99928800e-05,
7.86000000e-01, 2.04609800e-05,
8.24000000e-01, 2.04608100e-05,
8.62000000e-01, 2.00512100e-05,
9.00000000e-01, 1.95251000e-05,
9.38000000e-01, 1.89401700e-05,
9.76000000e-01, 1.84135900e-05,
1.01400000e+00, 1.80626400e-05,
1.05200000e+00, 1.78873100e-05,
1.09000000e+00, 1.82967600e-05,
1.12800000e+00, 2.02271800e-05,
1.16600000e+00, 2.44969700e-05,
1.20400000e+00, 3.31538800e-05,
1.24200000e+00, 4.37410300e-05,
1.28000000e+00, 5.39187500e-05,
1.31800000e+00, 5.99434800e-05,
1.35600000e+00, 6.06449000e-05,
1.39400000e+00, 5.93580700e-05,
1.43200000e+00, 5.77203000e-05,
1.47000000e+00, 5.86566500e-05,
1.50800000e+00, 6.02939400e-05,
1.54600000e+00, 6.24596700e-05,
