start, 2022-06-23 19:19:11.880546
end, 2022-06-23 19:20:49.792146
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.08441800e-05,
-9.62000000e-01, -3.87203000e-06,
-9.24000000e-01, -2.40962000e-06,
-8.86000000e-01, -1.70772300e-06,
-8.48000000e-01, -1.00580700e-06,
-8.10000000e-01, -6.54842800e-07,
-7.72000000e-01, -4.20880200e-07,
-7.34000000e-01, -6.99181700e-08,
-6.96000000e-01, -6.99191000e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 4.70679100e-08,
-5.82000000e-01, 4.70679100e-08,
-5.44000000e-01, 2.81040200e-07,
-5.06000000e-01, 2.22545700e-07,
-4.68000000e-01, 2.81038300e-07,
-4.30000000e-01, 1.64053100e-07,
-3.92000000e-01, 3.39533200e-07,
-3.54000000e-01, 2.22544300e-07,
-3.16000000e-01, 2.81036400e-07,
-2.78000000e-01, 3.98017700e-07,
-2.40000000e-01, 3.39530900e-07,
-2.02000000e-01, 2.81038300e-07,
-1.64000000e-01, 3.98026300e-07,
-1.26000000e-01, 2.22544300e-07,
-8.80000000e-02, 2.22544300e-07,
-5.00000000e-02, 3.39528500e-07,
-1.20000000e-02, 1.64052100e-07,
2.60000000e-02, 1.64052100e-07,
6.40000000e-02, 2.22544300e-07,
1.02000000e-01, 2.81036400e-07,
1.40000000e-01, 2.81038300e-07,
1.78000000e-01, 3.39530900e-07,
2.16000000e-01, 3.39533200e-07,
2.54000000e-01, 3.98029200e-07,
2.92000000e-01, 5.15004800e-07,
3.30000000e-01, 3.98023400e-07,
3.68000000e-01, 5.73505500e-07,
4.06000000e-01, 6.31993800e-07,
4.44000000e-01, 7.48973300e-07,
4.82000000e-01, 1.15843600e-06,
5.20000000e-01, 1.56788800e-06,
5.58000000e-01, 2.38675300e-06,
5.96000000e-01, 3.43963800e-06,
6.34000000e-01, 4.60952700e-06,
6.72000000e-01, 5.60386400e-06,
7.10000000e-01, 6.59818400e-06,
7.48000000e-01, 7.24159800e-06,
7.86000000e-01, 8.06055300e-06,
8.24000000e-01, 8.76246400e-06,
8.62000000e-01, 9.46429900e-06,
9.00000000e-01, 9.93215600e-06,
9.38000000e-01, 1.05172400e-05,
9.76000000e-01, 1.08681100e-05,
1.01400000e+00, 1.12191500e-05,
1.05200000e+00, 1.16870900e-05,
1.09000000e+00, 1.19793600e-05,
1.12800000e+00, 1.30324200e-05,
1.16600000e+00, 1.44362500e-05,
1.20400000e+00, 1.70684100e-05,
1.24200000e+00, 2.07532800e-05,
1.28000000e+00, 2.51403900e-05,
1.31800000e+00, 2.99367800e-05,
1.35600000e+00, 3.40309900e-05,
1.39400000e+00, 3.68971000e-05,
1.43200000e+00, 3.82430400e-05,
1.47000000e+00, 3.85355100e-05,
1.50800000e+00, 3.79499600e-05,
1.54600000e+00, 3.68971000e-05,
