start, 2022-06-23 20:28:38.742877
end, 2022-06-23 20:30:16.618475
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.20715200e-05,
-9.62000000e-01, -3.63799400e-06,
-9.24000000e-01, -2.11717500e-06,
-8.86000000e-01, -1.35677600e-06,
-8.48000000e-01, -1.00581500e-06,
-8.10000000e-01, -7.13341600e-07,
-7.72000000e-01, -3.03893200e-07,
-7.34000000e-01, -1.28412600e-07,
-6.96000000e-01, 4.70679100e-08,
-6.58000000e-01, 1.05560500e-07,
-6.20000000e-01, 1.64052100e-07,
-5.82000000e-01, 1.05560500e-07,
-5.44000000e-01, 1.64053100e-07,
-5.06000000e-01, 2.81036400e-07,
-4.68000000e-01, 2.22544300e-07,
-4.30000000e-01, 2.22544300e-07,
-3.92000000e-01, 2.22547100e-07,
-3.54000000e-01, 2.22547100e-07,
-3.16000000e-01, 3.98020600e-07,
-2.78000000e-01, 3.39530900e-07,
-2.40000000e-01, 3.39530900e-07,
-2.02000000e-01, 2.22544300e-07,
-1.64000000e-01, 2.22545700e-07,
-1.26000000e-01, 2.22547100e-07,
-8.80000000e-02, 2.22545700e-07,
-5.00000000e-02, 2.22547100e-07,
-1.20000000e-02, 1.64053100e-07,
2.60000000e-02, 2.22545700e-07,
6.40000000e-02, 2.81036400e-07,
1.02000000e-01, 3.39530900e-07,
1.40000000e-01, 3.39535600e-07,
1.78000000e-01, 2.81036400e-07,
2.16000000e-01, 2.81040200e-07,
2.54000000e-01, 3.39530900e-07,
2.92000000e-01, 3.98026300e-07,
3.30000000e-01, 4.56516000e-07,
3.68000000e-01, 5.73501200e-07,
4.06000000e-01, 6.31998500e-07,
4.44000000e-01, 8.65970800e-07,
4.82000000e-01, 1.04143400e-06,
5.20000000e-01, 1.80187400e-06,
5.58000000e-01, 2.56222900e-06,
5.96000000e-01, 3.55659500e-06,
6.34000000e-01, 4.60952700e-06,
6.72000000e-01, 5.66240200e-06,
7.10000000e-01, 6.59823800e-06,
7.48000000e-01, 7.24159800e-06,
7.86000000e-01, 8.00206000e-06,
8.24000000e-01, 8.64547900e-06,
8.62000000e-01, 9.46429900e-06,
9.00000000e-01, 9.81533000e-06,
9.38000000e-01, 1.03418500e-05,
9.76000000e-01, 1.07512100e-05,
1.01400000e+00, 1.11021700e-05,
1.05200000e+00, 1.13945400e-05,
1.09000000e+00, 1.20380500e-05,
1.12800000e+00, 1.26813700e-05,
1.16600000e+00, 1.40854000e-05,
1.20400000e+00, 1.64249900e-05,
1.24200000e+00, 1.98175600e-05,
1.28000000e+00, 2.35026000e-05,
1.31800000e+00, 2.73044000e-05,
1.35600000e+00, 3.03462300e-05,
1.39400000e+00, 3.21010100e-05,
1.43200000e+00, 3.30366200e-05,
1.47000000e+00, 3.36800300e-05,
1.50800000e+00, 3.45574200e-05,
1.54600000e+00, 3.53181000e-05,
