start, 2022-06-23 23:21:57.094628
end, 2022-06-23 23:23:34.458197
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.99092700e-05,
-9.62000000e-01, -3.05308800e-06,
-9.24000000e-01, -1.94167900e-06,
-8.86000000e-01, -1.29826100e-06,
-8.48000000e-01, -7.71827900e-07,
-8.10000000e-01, -4.20880200e-07,
-7.72000000e-01, -3.03890300e-07,
-7.34000000e-01, -1.28412600e-07,
-6.96000000e-01, 4.70679100e-08,
-6.58000000e-01, -1.14251300e-08,
-6.20000000e-01, 1.05561000e-07,
-5.82000000e-01, 1.64053100e-07,
-5.44000000e-01, 2.22547100e-07,
-5.06000000e-01, 2.22545700e-07,
-4.68000000e-01, 2.22545700e-07,
-4.30000000e-01, 2.22544300e-07,
-3.92000000e-01, 2.22545700e-07,
-3.54000000e-01, 2.22547100e-07,
-3.16000000e-01, 3.39530900e-07,
-2.78000000e-01, 2.22545700e-07,
-2.40000000e-01, 3.39535600e-07,
-2.02000000e-01, 2.22545700e-07,
-1.64000000e-01, 1.64054000e-07,
-1.26000000e-01, 3.39533200e-07,
-8.80000000e-02, 1.64052100e-07,
-5.00000000e-02, 2.81040200e-07,
-1.20000000e-02, 1.64052100e-07,
2.60000000e-02, 1.64053100e-07,
6.40000000e-02, 2.22547100e-07,
1.02000000e-01, 2.81038300e-07,
1.40000000e-01, 2.22545700e-07,
1.78000000e-01, 2.81040200e-07,
2.16000000e-01, 3.39533200e-07,
2.54000000e-01, 2.22547100e-07,
2.92000000e-01, 3.98023400e-07,
3.30000000e-01, 4.56516000e-07,
3.68000000e-01, 5.15008700e-07,
4.06000000e-01, 8.07471600e-07,
4.44000000e-01, 1.09993400e-06,
4.82000000e-01, 1.91883100e-06,
5.20000000e-01, 2.79622000e-06,
5.58000000e-01, 3.96610300e-06,
5.96000000e-01, 5.07743100e-06,
6.34000000e-01, 6.07180500e-06,
6.72000000e-01, 7.00762900e-06,
7.10000000e-01, 7.47562700e-06,
7.48000000e-01, 8.11904600e-06,
7.86000000e-01, 8.70397200e-06,
8.24000000e-01, 9.28889800e-06,
8.62000000e-01, 9.81533000e-06,
9.00000000e-01, 1.02832700e-05,
9.38000000e-01, 1.07512100e-05,
9.76000000e-01, 1.09850900e-05,
1.01400000e+00, 1.13360500e-05,
1.05200000e+00, 1.17456800e-05,
1.09000000e+00, 1.22135300e-05,
1.12800000e+00, 1.27985600e-05,
1.16600000e+00, 1.37344500e-05,
1.20400000e+00, 1.57232100e-05,
1.24200000e+00, 1.85307300e-05,
1.28000000e+00, 2.17476400e-05,
1.31800000e+00, 2.46728500e-05,
1.35600000e+00, 2.67781800e-05,
1.39400000e+00, 2.81232800e-05,
1.43200000e+00, 2.89424100e-05,
1.47000000e+00, 2.99955200e-05,
1.50800000e+00, 3.10484000e-05,
1.54600000e+00, 3.22762200e-05,
