start, 2022-06-23 23:15:40.712100
end, 2022-06-23 23:17:18.102671
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.98498000e-05,
-9.62000000e-01, -3.17007500e-06,
-9.24000000e-01, -1.88321800e-06,
-8.86000000e-01, -1.29828300e-06,
-8.48000000e-01, -8.88813000e-07,
-8.10000000e-01, -5.96350300e-07,
-7.72000000e-01, -3.03893200e-07,
-7.34000000e-01, -6.99191000e-08,
-6.96000000e-01, -1.14255900e-08,
-6.58000000e-01, -1.14246500e-08,
-6.20000000e-01, 2.22548500e-07,
-5.82000000e-01, -1.14251300e-08,
-5.44000000e-01, 1.64053100e-07,
-5.06000000e-01, 4.70679100e-08,
-4.68000000e-01, 1.05561000e-07,
-4.30000000e-01, 1.64053100e-07,
-3.92000000e-01, 2.22544300e-07,
-3.54000000e-01, 1.64053100e-07,
-3.16000000e-01, 3.98026300e-07,
-2.78000000e-01, 3.98026300e-07,
-2.40000000e-01, 3.98023400e-07,
-2.02000000e-01, 2.22548500e-07,
-1.64000000e-01, 2.81038300e-07,
-1.26000000e-01, 1.64053100e-07,
-8.80000000e-02, 2.22545700e-07,
-5.00000000e-02, 1.05559600e-07,
-1.20000000e-02, 2.22545700e-07,
2.60000000e-02, 1.64054000e-07,
6.40000000e-02, 2.22544300e-07,
1.02000000e-01, 2.22545700e-07,
1.40000000e-01, 2.81042100e-07,
1.78000000e-01, 2.81042100e-07,
2.16000000e-01, 2.22544300e-07,
2.54000000e-01, 2.22544300e-07,
2.92000000e-01, 2.81040200e-07,
3.30000000e-01, 2.22544300e-07,
3.68000000e-01, 4.56516000e-07,
4.06000000e-01, 7.48979000e-07,
4.44000000e-01, 1.15842700e-06,
4.82000000e-01, 1.91884600e-06,
5.20000000e-01, 2.85473500e-06,
5.58000000e-01, 4.08309000e-06,
5.96000000e-01, 5.07743100e-06,
6.34000000e-01, 6.07180500e-06,
6.72000000e-01, 6.94919300e-06,
7.10000000e-01, 7.53424100e-06,
7.48000000e-01, 8.11898000e-06,
7.86000000e-01, 8.70390200e-06,
8.24000000e-01, 9.23040500e-06,
8.62000000e-01, 9.69834600e-06,
9.00000000e-01, 1.02248600e-05,
9.38000000e-01, 1.08682000e-05,
9.76000000e-01, 1.11021700e-05,
1.01400000e+00, 1.13360500e-05,
1.05200000e+00, 1.16870900e-05,
1.09000000e+00, 1.20965400e-05,
1.12800000e+00, 1.27400600e-05,
1.16600000e+00, 1.39098100e-05,
1.20400000e+00, 1.56647200e-05,
1.24200000e+00, 1.85308800e-05,
1.28000000e+00, 2.18649800e-05,
1.31800000e+00, 2.49651100e-05,
1.35600000e+00, 2.70121500e-05,
1.39400000e+00, 2.82989900e-05,
1.43200000e+00, 2.90591600e-05,
1.47000000e+00, 3.00542600e-05,
1.50800000e+00, 3.09896500e-05,
1.54600000e+00, 3.23352400e-05,
