start, 2022-06-23 18:53:54.290745
end, 2022-06-23 18:55:32.100339
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.06102100e-05,
-9.62000000e-01, -4.10593800e-06,
-9.24000000e-01, -2.58511900e-06,
-8.86000000e-01, -1.70770900e-06,
-8.48000000e-01, -1.18128600e-06,
-8.10000000e-01, -7.71834600e-07,
-7.72000000e-01, -4.79360900e-07,
-7.34000000e-01, -2.45392500e-07,
-6.96000000e-01, -1.14251300e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 4.70679100e-08,
-5.82000000e-01, 1.05560000e-07,
-5.44000000e-01, 1.05560000e-07,
-5.06000000e-01, 2.22545700e-07,
-4.68000000e-01, 2.81038300e-07,
-4.30000000e-01, 2.81040200e-07,
-3.92000000e-01, 2.81036400e-07,
-3.54000000e-01, 3.98023400e-07,
-3.16000000e-01, 3.39530900e-07,
-2.78000000e-01, 2.22545700e-07,
-2.40000000e-01, 2.81036400e-07,
-2.02000000e-01, 2.81040200e-07,
-1.64000000e-01, 3.39533200e-07,
-1.26000000e-01, 3.39530900e-07,
-8.80000000e-02, 2.81034500e-07,
-5.00000000e-02, 3.39530900e-07,
-1.20000000e-02, 4.70679100e-08,
2.60000000e-02, 2.81036400e-07,
6.40000000e-02, 3.39530900e-07,
1.02000000e-01, 3.39533200e-07,
1.40000000e-01, 3.39530900e-07,
1.78000000e-01, 3.98020600e-07,
2.16000000e-01, 2.81036400e-07,
2.54000000e-01, 2.81036400e-07,
2.92000000e-01, 3.39530900e-07,
3.30000000e-01, 3.39528500e-07,
3.68000000e-01, 5.15008700e-07,
4.06000000e-01, 6.31993800e-07,
4.44000000e-01, 8.65964100e-07,
4.82000000e-01, 1.09993400e-06,
5.20000000e-01, 1.91881600e-06,
5.58000000e-01, 2.91320500e-06,
5.96000000e-01, 4.02456400e-06,
6.34000000e-01, 5.07743100e-06,
6.72000000e-01, 6.18874000e-06,
7.10000000e-01, 7.24165600e-06,
7.48000000e-01, 7.82651900e-06,
7.86000000e-01, 8.70383100e-06,
8.24000000e-01, 9.46437500e-06,
8.62000000e-01, 1.00493000e-05,
9.00000000e-01, 1.06341400e-05,
9.38000000e-01, 1.12191500e-05,
9.76000000e-01, 1.16285100e-05,
1.01400000e+00, 1.21549400e-05,
1.05200000e+00, 1.26813700e-05,
1.09000000e+00, 1.33248900e-05,
1.12800000e+00, 1.41437800e-05,
1.16600000e+00, 1.57229600e-05,
1.20400000e+00, 1.85892200e-05,
1.24200000e+00, 2.23325600e-05,
1.28000000e+00, 2.69534400e-05,
1.31800000e+00, 3.21010100e-05,
1.35600000e+00, 3.68389100e-05,
1.39400000e+00, 3.99971800e-05,
1.43200000e+00, 4.17522900e-05,
1.47000000e+00, 4.12843400e-05,
1.50800000e+00, 3.81839300e-05,
1.54600000e+00, 3.01707500e-05,
