start, 2022-06-23 20:03:24.821285
end, 2022-06-23 20:05:02.903895
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -6.16625800e-05,
-9.62000000e-01, -3.57955900e-06,
-9.24000000e-01, -2.29265400e-06,
-8.86000000e-01, -1.53225700e-06,
-8.48000000e-01, -1.00581500e-06,
-8.10000000e-01, -5.96350300e-07,
-7.72000000e-01, -3.62383300e-07,
-7.34000000e-01, -6.99191000e-08,
-6.96000000e-01, -1.14251300e-08,
-6.58000000e-01, 4.70679100e-08,
-6.20000000e-01, 1.05560500e-07,
-5.82000000e-01, 1.64052100e-07,
-5.44000000e-01, 1.64054000e-07,
-5.06000000e-01, 2.22547100e-07,
-4.68000000e-01, 1.64053100e-07,
-4.30000000e-01, 2.81038300e-07,
-3.92000000e-01, 2.81036400e-07,
-3.54000000e-01, 3.39533200e-07,
-3.16000000e-01, 3.39528500e-07,
-2.78000000e-01, 4.56516000e-07,
-2.40000000e-01, 3.39535600e-07,
-2.02000000e-01, 3.39530900e-07,
-1.64000000e-01, 2.81042100e-07,
-1.26000000e-01, 2.22545700e-07,
-8.80000000e-02, 2.22547100e-07,
-5.00000000e-02, 1.64054000e-07,
-1.20000000e-02, 2.22541400e-07,
2.60000000e-02, 1.05560000e-07,
6.40000000e-02, 3.39535600e-07,
1.02000000e-01, 2.81040200e-07,
1.40000000e-01, 3.39530900e-07,
1.78000000e-01, 3.98026300e-07,
2.16000000e-01, 2.81040200e-07,
2.54000000e-01, 3.39533200e-07,
2.92000000e-01, 3.39530900e-07,
3.30000000e-01, 3.39528500e-07,
3.68000000e-01, 5.73505500e-07,
4.06000000e-01, 6.90486400e-07,
4.44000000e-01, 8.07465400e-07,
4.82000000e-01, 9.82949400e-07,
5.20000000e-01, 1.50939500e-06,
5.58000000e-01, 2.26978600e-06,
5.96000000e-01, 3.26416100e-06,
6.34000000e-01, 4.25850000e-06,
6.72000000e-01, 5.31140100e-06,
7.10000000e-01, 6.30577500e-06,
7.48000000e-01, 7.24159800e-06,
7.86000000e-01, 7.82651900e-06,
8.24000000e-01, 8.58705600e-06,
8.62000000e-01, 9.28889800e-06,
9.00000000e-01, 9.93231600e-06,
9.38000000e-01, 1.04002600e-05,
9.76000000e-01, 1.06339700e-05,
1.01400000e+00, 1.10437600e-05,
1.05200000e+00, 1.15700100e-05,
1.09000000e+00, 1.20380500e-05,
1.12800000e+00, 1.26813700e-05,
1.16600000e+00, 1.41437800e-05,
1.20400000e+00, 1.65419800e-05,
1.24200000e+00, 2.00515400e-05,
1.28000000e+00, 2.39707300e-05,
1.31800000e+00, 2.80065300e-05,
1.35600000e+00, 3.13403500e-05,
1.39400000e+00, 3.33293500e-05,
1.43200000e+00, 3.43822200e-05,
1.47000000e+00, 3.49668600e-05,
1.50800000e+00, 3.55520700e-05,
1.54600000e+00, 3.59615200e-05,
