Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 00:52:53 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,360,s

Step #1 Quick Stats
35716,points recorded,,0.34302705267,V average
-0.081480026245,V minimum,,0.074989300057,V standard deviation
0.36955118179,V median,,360.03347488,s to run experiment
0.40554738045,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
1,0,1e-06,-0.081480026245
2,0.0113612,1e-06,-0.079590797424
3,0.0214233,1e-06,-0.078147888184
4,0.0314846,1e-06,-0.077197551727
5,0.0415484,1e-06,-0.076075553894
6,0.0516394,1e-06,-0.075423240662
7,0.0617068,1e-06,-0.07463312149
8,0.0717741,1e-06,-0.073991775513
9,0.0818341,1e-06,-0.07331609726
10,0.091966,1e-06,-0.072778224945
11,0.102041,1e-06,-0.072171211243
12,0.112112,1e-06,-0.071702003479
13,0.122168,1e-06,-0.07111787796
14,0.132242,1e-06,-0.070694446564
15,0.142344,1e-06,-0.070110321045
16,0.152426,1e-06,-0.069766998291
17,0.162494,1e-06,-0.069205760956
18,0.172549,1e-06,-0.06885099411
19,0.182624,1e-06,-0.068266868591
20,0.192699,1e-06,-0.06800365448
21,0.202769,1e-06,-0.067385196686
22,0.212846,1e-06,-0.067179203033
23,0.222934,1e-06,-0.06658411026
24,0.233005,1e-06,-0.066446781158
25,0.243154,1e-06,-0.065713882446
26,0.253158,1e-06,-0.065679550171
27,0.263223,1e-06,-0.064946651459
28,0.273298,1e-06,-0.064889431
29,0.283357,1e-06,-0.064190864563
30,0.293427,1e-06,-0.064122200012
31,0.303514,1e-06,-0.063504219055
32,0.313587,1e-06,-0.063423633575
33,0.323664,1e-06,-0.062782764435
34,0.333728,1e-06,-0.062759876251
35,0.343793,1e-06,-0.062084197998
36,0.353868,1e-06,-0.061992645264
37,0.363953,1e-06,-0.06144285202
38,0.37402,1e-06,-0.061305522919
39,0.384127,1e-06,-0.060813426971
40,0.394191,1e-06,-0.060664653778
41,0.404261,1e-06,-0.060137748718
42,0.414332,1e-06,-0.059966087341
43,0.424397,1e-06,-0.059484958649
44,0.434466,1e-06,-0.059313297272
45,0.444539,1e-06,-0.058844089508
46,0.454614,1e-06,-0.058695316315
47,0.464706,1e-06,-0.058248519897
48,0.474798,1e-06,-0.058111190796
49,0.484854,1e-06,-0.057619094849
50,0.494926,1e-06,-0.057446956635
51,0.505004,1e-06,-0.057023525238
52,0.515073,1e-06,-0.056863307953
53,0.52515,1e-06,-0.056405067444
54,0.535234,1e-06,-0.056279182434
55,0.545299,1e-06,-0.055798530579
56,0.555375,1e-06,-0.055672645569
57,0.565468,1e-06,-0.055225849152
58,0.57554,1e-06,-0.055111408234
59,0.585611,1e-06,-0.054665088654
60,0.595687,1e-06,-0.054550647736
61,0.605752,1e-06,-0.054103851318
62,0.615839,1e-06,-0.053977966309
63,0.625893,1e-06,-0.053508281708
64,0.635977,1e-06,-0.053439617157
65,0.646033,1e-06,-0.052981853485
66,0.656106,1e-06,-0.052867412567
67,0.666185,1e-06,-0.052454948425
68,0.676287,1e-06,-0.052340507507
69,0.686377,1e-06,-0.051951408386
70,0.69644,1e-06,-0.051779747009
71,0.706507,1e-06,-0.051424503326
72,0.716576,1e-06,-0.05119562149
73,0.726656,1e-06,-0.050898075104
74,0.736728,1e-06,-0.050692081451
75,0.746794,1e-06,-0.050394058228
76,0.756863,1e-06,-0.050130844116
77,0.766956,1e-06,-0.049856185913
78,0.777015,1e-06,-0.049615859985
79,0.787103,1e-06,-0.049352169037
80,0.797181,1e-06,-0.049146175385
81,0.807253,1e-06,-0.048871517181
82,0.817327,1e-06,-0.048619747162
83,0.827397,1e-06,-0.048378944397
84,0.837473,1e-06,-0.048127174377
85,0.847539,1e-06,-0.047841072083
86,0.857615,1e-06,-0.047589302063
87,0.867684,1e-06,-0.047325611115
88,0.877754,1e-06,-0.04710817337
89,0.887839,1e-06,-0.046810626984
90,0.897912,1e-06,-0.046581268311
91,0.907994,1e-06,-0.046363830566
92,0.918069,1e-06,-0.046157836914
93,0.928136,1e-06,-0.045860290527
94,0.938214,1e-06,-0.045642852783
95,0.948285,1e-06,-0.045344829559
96,0.958368,1e-06,-0.045161724091
97,0.968444,1e-06,-0.044898509979
98,0.97851,1e-06,-0.044669628143
99,0.988583,1e-06,-0.04444026947
100,0.998647,1e-06,-0.044154167175
101,1.00872,1e-06,-0.043971061707
102,1.01881,1e-06,-0.043684959412
103,1.02888,1e-06,-0.043547153473
104,1.03895,1e-06,-0.043238162994
105,1.04902,1e-06,-0.043066501617
106,1.05909,1e-06,-0.042746067047
107,1.06917,1e-06,-0.042596817017
108,1.07924,1e-06,-0.042310714722
109,1.08932,1e-06,-0.042116165161
110,1.09939,1e-06,-0.041830062866
111,1.10946,1e-06,-0.041612148285
112,1.11954,1e-06,-0.041371822357
113,1.12962,1e-06,-0.041154384613
114,1.1397,1e-06,-0.04087972641
115,1.14977,1e-06,-0.040719509125
116,1.15988,1e-06,-0.040444374084
117,1.16993,1e-06,-0.040307044983
118,1.17999,1e-06,-0.039986610413
119,1.19006,1e-06,-0.039860725403
120,1.20014,1e-06,-0.039539813995
121,1.21021,1e-06,-0.039402484894
122,1.22029,1e-06,-0.039070606232
123,1.23036,1e-06,-0.03893327713
124,1.24043,1e-06,-0.038623809814
125,1.25051,1e-06,-0.038475036621
126,1.26057,1e-06,-0.038177490234
127,1.27122,1e-06,-0.038040161133
128,1.28073,1e-06,-0.037708282471
129,1.29082,1e-06,-0.037627696991
130,1.30091,1e-06,-0.037284374237
131,1.31097,1e-06,-0.037192821503
132,1.32104,1e-06,-0.036838054657
133,1.33111,1e-06,-0.036746501923
134,1.34119,1e-06,-0.03639125824
135,1.35128,1e-06,-0.036299705505
136,1.36136,1e-06,-0.035956382751
137,1.37141,1e-06,-0.035830497742
138,1.38147,1e-06,-0.035566806793
139,1.39155,1e-06,-0.035372257233
140,1.40161,1e-06,-0.035143375397
141,1.41171,1e-06,-0.034948825836
142,1.42179,1e-06,-0.034697055817
143,1.43186,1e-06,-0.034536361694
144,1.44194,1e-06,-0.034238815308
145,1.45206,1e-06,-0.034101486206
146,1.4621,1e-06,-0.033838272095
147,1.47218,1e-06,-0.033666133881
148,1.48224,1e-06,-0.033357143402
149,1.49235,1e-06,-0.033265590668
150,1.50243,1e-06,-0.03289937973
151,1.51251,1e-06,-0.032819271088
152,1.52255,1e-06,-0.032441139221
153,1.53262,1e-06,-0.032441139221
154,1.54269,1e-06,-0.031994819641
155,1.55276,1e-06,-0.032006263733
156,1.56285,1e-06,-0.031548023224
157,1.57292,1e-06,-0.031662464142
158,1.58298,1e-06,-0.031124591827
159,1.59307,1e-06,-0.031250476837
160,1.60316,1e-06,-0.030724048615
161,1.61321,1e-06,-0.030804157257
162,1.62329,1e-06,-0.030277252197
163,1.63336,1e-06,-0.03035736084
164,1.64344,1e-06,-0.029865264893
165,1.65351,1e-06,-0.029899597168
166,1.66357,1e-06,-0.029441356659
167,1.67364,1e-06,-0.029487133026
168,1.68371,1e-06,-0.029029369354
169,1.69378,1e-06,-0.029006481171
170,1.70387,1e-06,-0.02866268158
171,1.71394,1e-06,-0.028639793396
172,1.72401,1e-06,-0.028227806091
173,1.73408,1e-06,-0.028193473816
174,1.74416,1e-06,-0.027827262878
175,1.75424,1e-06,-0.027792930603
176,1.76432,1e-06,-0.027414798737
177,1.7744,1e-06,-0.027334690094
178,1.78697,1e-06,-0.027002811432
