Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Thu Aug 11 10:33:55 2022
Model,2450
Serial Number,04509830
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.071,s/pt
VRange:,2

Step #1 Settings
Current,1e-05,A
Duration,360,s

Step #1 Quick Stats
5065,points recorded,,0.36312272259,V average
0.018951416016,V minimum,,0.074887477181,V standard deviation
0.39549732208,V median,,360.01875836,s to run experiment
0.42311954498,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
155,10.9468,1e-05,0.15800714493
156,11.0179,1e-05,0.15851378441
157,11.089,1e-05,0.15781140327
158,11.16,1e-05,0.15917015076
159,11.2311,1e-05,0.15758109093
160,11.3022,1e-05,0.1594350338
161,11.3732,1e-05,0.15816831589
162,11.4443,1e-05,0.15955018997
163,11.5156,1e-05,0.15868663788
164,11.5865,1e-05,0.15927386284
165,11.6575,1e-05,0.15972280502
166,11.7286,1e-05,0.15919327736
167,11.7997,1e-05,0.16034460068
168,11.8708,1e-05,0.15874409676
169,11.9418,1e-05,0.16071295738
170,12.0129,1e-05,0.15944647789
171,12.084,1e-05,0.16090869904
172,12.1551,1e-05,0.15990710258
173,12.2262,1e-05,0.16055178642
174,12.2972,1e-05,0.16078209877
175,12.3683,1e-05,0.16043663025
176,12.4394,1e-05,0.16140389442
177,12.5104,1e-05,0.16002225876
178,12.5815,1e-05,0.16201400757
179,12.6526,1e-05,0.16058635712
180,12.7237,1e-05,0.16217541695
181,12.7947,1e-05,0.16117358208
182,12.8658,1e-05,0.16191053391
183,12.9369,1e-05,0.16197967529
184,13.008,1e-05,0.16166877747
185,13.079,1e-05,0.16267037392
186,13.1501,1e-05,0.16127729416
187,13.2212,1e-05,0.16329216957
188,13.2923,1e-05,0.16186451912
189,13.3633,1e-05,0.16346478462
190,13.4344,1e-05,0.16240549088
191,13.5055,1e-05,0.16307353973
192,13.5766,1e-05,0.16329216957
193,13.6477,1e-05,0.16292381287
194,13.7187,1e-05,0.16393709183
195,13.7898,1e-05,0.16262435913
196,13.8609,1e-05,0.16454720497
197,13.9319,1e-05,0.16303896904
198,14.003,1e-05,0.16468548775
199,14.0741,1e-05,0.16374135017
200,14.1452,1e-05,0.16446661949
201,14.2163,1e-05,0.16451263428
202,14.2873,1e-05,0.16412115097
203,14.3584,1e-05,0.16515755653
204,14.4295,1e-05,0.1640291214
205,14.5005,1e-05,0.16588282585
206,14.5716,1e-05,0.16435146332
207,14.6427,1e-05,0.16595196724
208,14.7138,1e-05,0.16503071785
209,14.7848,1e-05,0.16574478149
210,14.8559,1e-05,0.16576766968
211,14.927,1e-05,0.16541075706
212,14.998,1e-05,0.16647005081
213,15.0691,1e-05,0.16536474228
214,15.1402,1e-05,0.16710329056
215,15.2113,1e-05,0.1656525135
216,15.2823,1e-05,0.16719555855
217,15.3534,1e-05,0.16640090942
218,15.4245,1e-05,0.16704583168
219,15.4956,1e-05,0.16697669029
220,15.5666,1e-05,0.16670036316
221,15.6377,1e-05,0.16778278351
222,15.7088,1e-05,0.16679239273
223,15.7798,1e-05,0.16835832596
224,15.8509,1e-05,0.16688466072
225,15.922,1e-05,0.16840434074
226,15.9931,1e-05,0.16757535934
227,16.0641,1e-05,0.168623209
228,16.1352,1e-05,0.16838145256
229,16.2063,1e-05,0.16804742813
230,16.2773,1e-05,0.16918730736
231,16.3484,1e-05,0.16818571091
232,16.4195,1e-05,0.16968250275
233,16.4906,1e-05,0.16835832596
234,16.5617,1e-05,0.16972851753
235,16.6327,1e-05,0.16901469231
236,16.7038,1e-05,0.16999340057
237,16.7749,1e-05,0.16971707344
238,16.846,1e-05,0.16942930222
239,16.917,1e-05,0.17051148415
240,16.9881,1e-05,0.16963648796
241,17.0592,1e-05,0.17108726501
242,17.1303,1e-05,0.16970562935
243,17.2013,1e-05,0.1711101532
244,17.2724,1e-05,0.17039632797
245,17.3435,1e-05,0.17143273354
246,17.4145,1e-05,0.1711332798
247,17.4856,1e-05,0.17081093788
248,17.5567,1e-05,0.1719622612
249,17.6278,1e-05,0.17100667953
250,17.6988,1e-05,0.17258405685
251,17.7699,1e-05,0.17116785049
252,17.841,1e-05,0.17261862755
253,17.9121,1e-05,0.17178964615
254,17.9831,1e-05,0.17286038399
255,18.0542,1e-05,0.17258405685
256,18.1253,1e-05,0.17230772972
257,18.1964,1e-05,0.17335557938
258,18.2674,1e-05,0.17239975929
259,18.3385,1e-05,0.17412686348
260,18.4096,1e-05,0.17259550095
261,18.4807,1e-05,0.17413854599
262,18.5517,1e-05,0.17319440842
263,18.6228,1e-05,0.17431116104
264,18.6939,1e-05,0.17398881912
265,18.7649,1e-05,0.17386221886
266,18.836,1e-05,0.17479467392
267,18.9071,1e-05,0.17385053635
268,18.9782,1e-05,0.17562389374
269,19.0493,1e-05,0.17412686348
270,19.1203,1e-05,0.17563533783
271,19.1914,1e-05,0.17459893227
272,19.2625,1e-05,0.175750494
273,19.3335,1e-05,0.17548561096
274,19.4046,1e-05,0.17542815208
275,19.4757,1e-05,0.17624545097
276,19.5468,1e-05,0.17542815208
277,19.6178,1e-05,0.17722415924
278,19.6889,1e-05,0.17557764053
279,19.76,1e-05,0.17718982697
280,19.8311,1e-05,0.17606139183
281,19.9021,1e-05,0.17727041245
282,19.9732,1e-05,0.1770169735
283,20.0443,1e-05,0.17710924149
284,20.1153,1e-05,0.17777705193
285,20.1865,1e-05,0.17705154419
286,20.2575,1e-05,0.17876720428
287,20.3286,1e-05,0.1770401001
288,20.3997,1e-05,0.17880177498
289,20.4707,1e-05,0.17755818367
290,20.5418,1e-05,0.17890524864
291,20.6129,1e-05,0.17847919464
292,20.684,1e-05,0.17876720428
293,20.755,1e-05,0.17930841446
294,20.8261,1e-05,0.17865204811
295,20.8974,1e-05,0.18036770821
296,20.9683,1e-05,0.17861747742
297,21.0393,1e-05,0.18048286438
298,21.1104,1e-05,0.1791241169
299,21.1815,1e-05,0.18052887917
300,21.2526,1e-05,0.18007969856
301,21.3236,1e-05,0.18039059639
302,21.3947,1e-05,0.18101239204
303,21.4658,1e-05,0.18028712273
304,21.5369,1e-05,0.18179535866
305,21.608,1e-05,0.18025255203
306,21.679,1e-05,0.18218684196
307,21.7501,1e-05,0.18086266518
308,21.8212,1e-05,0.18209481239
309,21.8923,1e-05,0.18171477318
310,21.9633,1e-05,0.18204879761
311,22.0344,1e-05,0.18275094032
312,22.1055,1e-05,0.18199110031
313,22.1766,1e-05,0.18343043327
314,22.2476,1e-05,0.18201422691
315,22.3187,1e-05,0.18387937546
316,22.3898,1e-05,0.18261289597
317,22.4608,1e-05,0.18375277519
318,22.5319,1e-05,0.18337273598
319,22.603,1e-05,0.18378734589
320,22.6741,1e-05,0.18442058563
321,22.7451,1e-05,0.18364906311
322,22.8162,1e-05,0.1849732399
323,22.8873,1e-05,0.18376421928
324,22.9583,1e-05,0.18553733826
325,23.0294,1e-05,0.18435144424
326,23.1005,1e-05,0.18552589417
327,23.1716,1e-05,0.18492722511
328,23.2426,1e-05,0.18545675278
329,23.3137,1e-05,0.18614768982
330,23.3848,1e-05,0.18530726433
331,23.4559,1e-05,0.18664288521
332,23.5269,1e-05,0.18543386459
333,23.598,1e-05,0.18720698357
334,23.6691,1e-05,0.18605566025
335,23.7402,1e-05,0.18724155426
336,23.8112,1e-05,0.18652772903
337,23.8823,1e-05,0.18719553947
338,23.9534,1e-05,0.18784022331
339,24.0245,1e-05,0.1870803833
340,24.0955,1e-05,0.18832397461
341,24.1666,1e-05,0.18723011017
342,24.2377,1e-05,0.18892264366
343,24.3088,1e-05,0.18780565262
344,24.3799,1e-05,0.18900322914
345,24.451,1e-05,0.18828940392
346,24.522,1e-05,0.18892264366
347,24.5931,1e-05,0.18964791298
348,24.6642,1e-05,0.18884205818
349,24.7353,1e-05,0.19015455246
350,24.8063,1e-05,0.18889951706
351,24.8774,1e-05,0.19064974785
352,24.9485,1e-05,0.18963646889
353,25.0196,1e-05,0.19068431854
354,25.0906,1e-05,0.19002795219
355,25.1617,1e-05,0.19067263603
356,25.2328,1e-05,0.19134068489
357,25.3039,1e-05,0.19061517715
358,25.3749,1e-05,0.19197392464
359,25.446,1e-05,0.19055771828
360,25.5171,1e-05,0.19244599342
361,25.5882,1e-05,0.19129443169
362,25.6592,1e-05,0.19260716438
363,25.7303,1e-05,0.19188165665
364,25.8014,1e-05,0.1925611496
365,25.8725,1e-05,0.19307923317
366,25.9435,1e-05,0.19244599342
367,26.0146,1e-05,0.19376993179
368,26.0857,1e-05,0.19226169586
369,26.1568,1e-05,0.1941845417
370,26.2278,1e-05,0.19297552109
371,26.2989,1e-05,0.19439172745
372,26.37,1e-05,0.19358587265
373,26.4411,1e-05,0.19425368309
374,26.5121,1e-05,0.19470262527
375,26.5832,1e-05,0.19417309761
376,26.6543,1e-05,0.19532442093
377,26.7254,1e-05,0.19393134117
378,26.7964,1e-05,0.19588875771
379,26.8675,1e-05,0.19463372231
380,26.9386,1e-05,0.19617652893
381,27.0097,1e-05,0.19523239136
382,27.0807,1e-05,0.19596934319
383,27.1518,1e-05,0.19628024101
384,27.2229,1e-05,0.19592308998
385,27.294,1e-05,0.19700551033
386,27.365,1e-05,0.19570446014
387,27.4361,1e-05,0.19777703285
388,27.5072,1e-05,0.19645285606
389,27.5783,1e-05,0.19805335999
390,27.6493,1e-05,0.1971552372
391,27.7204,1e-05,0.19789218903
392,27.7915,1e-05,0.19812226295
393,27.8625,1e-05,0.19783449173
394,27.9336,1e-05,0.19896292686
395,28.0047,1e-05,0.19762730598
396,28.0758,1e-05,0.199665308
397,28.1468,1e-05,0.1983757019
398,28.2179,1e-05,0.19997620583
399,28.289,1e-05,0.19906663895
400,28.3601,1e-05,0.19983792305
401,28.4311,1e-05,0.2000682354
402,28.5022,1e-05,0.19987249374
403,28.5733,1e-05,0.20100092888
404,28.6443,1e-05,0.19973444939
405,28.7154,1e-05,0.20187592506
