Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 00:41:43 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,180,s

Step #1 Quick Stats
17852,points recorded,,0.32611380872,V average
0.14340639114,V minimum,,0.042615912772,V standard deviation
0.33620858192,V median,,180.03346596,s to run experiment
0.37760853767,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
133,1.3311,1e-06,0.19227099419
134,1.34117,1e-06,0.19259166718
135,1.35125,1e-06,0.19258022308
136,1.36131,1e-06,0.19288921356
137,1.3714,1e-06,0.19292354584
138,1.38146,1e-06,0.19322133064
139,1.39154,1e-06,0.19323277473
140,1.40161,1e-06,0.19350743294
141,1.41168,1e-06,0.19354176521
142,1.42175,1e-06,0.19382810593
143,1.43183,1e-06,0.19380521774
144,1.44193,1e-06,0.19411420822
145,1.45202,1e-06,0.19407987595
146,1.46208,1e-06,0.19434332848
147,1.47215,1e-06,0.19441199303
148,1.48223,1e-06,0.19462943077
149,1.4923,1e-06,0.19469809532
150,1.50237,1e-06,0.1948928833
151,1.51244,1e-06,0.19499588013
152,1.52251,1e-06,0.19523620605
153,1.53259,1e-06,0.19527053833
154,1.54267,1e-06,0.19549965858
155,1.55274,1e-06,0.19554543495
156,1.56281,1e-06,0.19577431679
157,1.57289,1e-06,0.19579720497
158,1.58296,1e-06,0.19609498978
159,1.59303,1e-06,0.19604921341
160,1.6031,1e-06,0.19639253616
161,1.61318,1e-06,0.19631242752
162,1.62324,1e-06,0.19671320915
163,1.63336,1e-06,0.19656443596
164,1.64344,1e-06,0.19694209099
165,1.65349,1e-06,0.19673609734
166,1.66355,1e-06,0.1972284317
167,1.67363,1e-06,0.19702243805
168,1.68369,1e-06,0.19745731354
169,1.69377,1e-06,0.19731998444
170,1.70385,1e-06,0.19769787788
171,1.71392,1e-06,0.19757199287
172,1.72399,1e-06,0.1979496479
173,1.73406,1e-06,0.19785809517
174,1.74414,1e-06,0.19821310043
175,1.75421,1e-06,0.1981215477
176,1.76428,1e-06,0.19845342636
177,1.77436,1e-06,0.1983962059
178,1.78443,1e-06,0.19871687889
179,1.79451,1e-06,0.19865965843
180,1.80458,1e-06,0.19895720482
181,1.81466,1e-06,0.19889998436
182,1.82474,1e-06,0.19916343689
183,1.8348,1e-06,0.19917488098
184,1.84487,1e-06,0.19943809509
185,1.85496,1e-06,0.19941520691
186,1.86504,1e-06,0.19968986511
187,1.87509,1e-06,0.19966697693
188,1.88519,1e-06,0.199873209
189,1.89527,1e-06,0.19986176491
190,1.90535,1e-06,0.20013642311
191,1.91543,1e-06,0.20007920265
192,1.92549,1e-06,0.20036554337
193,1.93556,1e-06,0.200319767
194,1.94564,1e-06,0.20060586929
195,1.95571,1e-06,0.20058298111
196,1.96578,1e-06,0.20084643364
197,1.97585,1e-06,0.20082354546
198,1.98592,1e-06,0.20107531548
199,1.99599,1e-06,0.20102953911
200,2.00606,1e-06,0.20129275322
201,2.01614,1e-06,0.20130419731
202,2.02622,1e-06,0.20147609711
203,2.0363,1e-06,0.20154476166
204,2.04639,1e-06,0.20172786713
205,2.05646,1e-06,0.20179653168
206,2.06654,1e-06,0.2019340992
207,2.07662,1e-06,0.20204854012
208,2.08668,1e-06,0.20214009285
209,2.09675,1e-06,0.20226597786
210,2.10683,1e-06,0.20235753059
211,2.1169,1e-06,0.20249509811
212,2.12698,1e-06,0.20257520676
213,2.13707,1e-06,0.20266675949
214,2.14715,1e-06,0.2027926445
215,2.15723,1e-06,0.20289564133
216,2.1673,1e-06,0.20304465294
217,2.17737,1e-06,0.2031018734
218,2.18744,1e-06,0.20322775841
219,2.19752,1e-06,0.20331931114
220,2.20758,1e-06,0.20344519615
221,2.21768,1e-06,0.20352530479
222,2.22773,1e-06,0.20366287231
223,2.2378,1e-06,0.20375442505
224,2.24788,1e-06,0.20385742188
225,2.25795,1e-06,0.2039604187
226,2.26804,1e-06,0.20409798622
227,2.2781,1e-06,0.20420098305
228,2.28818,1e-06,0.20428109169
229,2.29825,1e-06,0.20442986488
230,2.30832,1e-06,0.20447564125
231,2.31841,1e-06,0.20469331741
232,2.32848,1e-06,0.20467042923
233,2.33855,1e-06,0.20488786697
234,2.34863,1e-06,0.20488786697
235,2.35872,1e-06,0.20508241653
236,2.36878,1e-06,0.20507097244
237,2.37884,1e-06,0.20528864861
238,2.38892,1e-06,0.2053000927
239,2.399,1e-06,0.20548319817
240,2.40913,1e-06,0.20550608635
241,2.41916,1e-06,0.20568919182
242,2.42923,1e-06,0.20567774773
243,2.4393,1e-06,0.20587253571
244,2.44937,1e-06,0.20580387115
245,2.45945,1e-06,0.20606708527
246,2.46952,1e-06,0.20603275299
247,2.4796,1e-06,0.20626163483
248,2.48968,1e-06,0.20625019073
249,2.49976,1e-06,0.20647931099
250,2.50986,1e-06,0.20647931099
251,2.51994,1e-06,0.20669674873
252,2.53002,1e-06,0.20666241646
253,2.54006,1e-06,0.2069029808
254,2.55015,1e-06,0.20688009262
255,2.56026,1e-06,0.20710897446
256,2.57032,1e-06,0.207051754
257,2.58039,1e-06,0.20728063583
258,2.59045,1e-06,0.20726919174
259,2.60052,1e-06,0.20747542381
260,2.61059,1e-06,0.2074868679
261,2.62067,1e-06,0.20761275291
262,2.63074,1e-06,0.20766997337
263,2.64081,1e-06,0.20785307884
264,2.65088,1e-06,0.20788741112
