Keithley Instruments: Chronopotentiometry

System Parameters
Date/Time,Tue Apr 26 01:07:48 2022
Model,2450
Serial Number,04431893
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0


Measurement Interval:,0.01,s/pt
VRange:,2

Step #1 Settings
Current,1e-06,A
Duration,500,s

Step #1 Quick Stats
49606,points recorded,,0.35327284618,V average
-0.11723709106,V minimum,,0.086111879634,V standard deviation
0.38489317894,V median,,500.03347426,s to run experiment
0.41768336296,V maximum

Raw Data

Step #1
Data Pt, Times (s), Current (A), Potential (V)
146,1.46206,1e-06,-0.086620807648
147,1.47214,1e-06,-0.086563587189
148,1.4822,1e-06,-0.08638048172
149,1.49236,1e-06,-0.086346149445
150,1.50233,1e-06,-0.086151123047
151,1.5124,1e-06,-0.086116790771
152,1.52247,1e-06,-0.085945129395
153,1.53254,1e-06,-0.085910797119
154,1.54265,1e-06,-0.085716247559
155,1.55269,1e-06,-0.0856590271
156,1.56277,1e-06,-0.08553314209
157,1.57285,1e-06,-0.085418701172
158,1.58293,1e-06,-0.085292816162
159,1.59299,1e-06,-0.085212230682
160,1.60306,1e-06,-0.085040569305
161,1.61313,1e-06,-0.084994792938
162,1.62321,1e-06,-0.084823131561
163,1.63328,1e-06,-0.084800243378
164,1.64338,1e-06,-0.084640026093
165,1.65345,1e-06,-0.084605693817
166,1.66352,1e-06,-0.084411144257
167,1.67359,1e-06,-0.084399700165
168,1.68368,1e-06,-0.084216117859
169,1.69375,1e-06,-0.084170341492
170,1.7038,1e-06,-0.083987236023
171,1.71389,1e-06,-0.083941459656
172,1.72398,1e-06,-0.083769798279
173,1.73408,1e-06,-0.083724021912
174,1.74411,1e-06,-0.083540916443
175,1.75418,1e-06,-0.083552360535
176,1.76425,1e-06,-0.083334922791
177,1.77432,1e-06,-0.083300590515
178,1.7844,1e-06,-0.083105564117
179,1.79446,1e-06,-0.083117008209
180,1.80454,1e-06,-0.082876682281
181,1.81462,1e-06,-0.082876682281
182,1.8247,1e-06,-0.082705020905
183,1.83481,1e-06,-0.082636356354
184,1.84488,1e-06,-0.082510471344
185,1.85495,1e-06,-0.082407474518
186,1.86503,1e-06,-0.082304000854
187,1.87513,1e-06,-0.082201004028
188,1.88521,1e-06,-0.082075119019
189,1.89529,1e-06,-0.081995010376
190,1.90535,1e-06,-0.081857681274
191,1.91798,1e-06,-0.081800460815
192,1.92552,1e-06,-0.081651687622
193,1.93558,1e-06,-0.08164024353
194,1.94566,1e-06,-0.081422805786
195,1.95574,1e-06,-0.081434249878
196,1.96581,1e-06,-0.081216335297
197,1.97591,1e-06,-0.081250667572
198,1.98596,1e-06,-0.080895900726
199,1.99603,1e-06,-0.081067562103
200,2.00611,1e-06,-0.080747127533
201,2.01618,1e-06,-0.08091878891
202,2.02625,1e-06,-0.080506801605
203,2.03632,1e-06,-0.080701351166
204,2.04639,1e-06,-0.080300331116
205,2.05646,1e-06,-0.08047246933
206,2.06654,1e-06,-0.080082893372
207,2.07661,1e-06,-0.080243110657
208,2.08668,1e-06,-0.079888343811
209,2.09677,1e-06,-0.080048561096
210,2.10683,1e-06,-0.079682350159
211,2.11691,1e-06,-0.079808235168
212,2.12698,1e-06,-0.079510688782
213,2.13705,1e-06,-0.079590797424
214,2.14712,1e-06,-0.079327106476
215,2.1572,1e-06,-0.079384803772
216,2.16727,1e-06,-0.079132556915
217,2.17791,1e-06,-0.079121112823
218,2.18742,1e-06,-0.078938007355
219,2.1975,1e-06,-0.078949451447
220,2.20758,1e-06,-0.078743457794
221,2.21764,1e-06,-0.078754901886
222,2.22773,1e-06,-0.07852602005
223,2.2378,1e-06,-0.078594684601
224,2.24788,1e-06,-0.078330993652
225,2.25796,1e-06,-0.078354358673
226,2.26804,1e-06,-0.078113555908
227,2.27811,1e-06,-0.078170776367
228,2.28818,1e-06,-0.077907562256
229,2.29825,1e-06,-0.077964782715
230,2.30833,1e-06,-0.077724456787
231,2.31841,1e-06,-0.077758789063
232,2.32848,1e-06,-0.077495574951
233,2.33855,1e-06,-0.077575683594
234,2.34862,1e-06,-0.077266216278
235,2.35869,1e-06,-0.077334880829
236,2.36877,1e-06,-0.077060222626
237,2.37884,1e-06,-0.077128887177
238,2.38891,1e-06,-0.076922893524
239,2.39899,1e-06,-0.076934337616
240,2.40906,1e-06,-0.076694011688
241,2.41912,1e-06,-0.076739788055
242,2.42919,1e-06,-0.076488018036
243,2.43928,1e-06,-0.076533794403
244,2.44935,1e-06,-0.076292991638
245,2.45942,1e-06,-0.076327323914
246,2.46949,1e-06,-0.076098442078
247,2.47959,1e-06,-0.076086997986
248,2.48965,1e-06,-0.075915336609
249,2.49972,1e-06,-0.075881004333
250,2.50981,1e-06,-0.075766563416
251,2.51989,1e-06,-0.075709342957
252,2.52996,1e-06,-0.075572013855
253,2.54003,1e-06,-0.075491905212
254,2.5501,1e-06,-0.075366020203
255,2.56017,1e-06,-0.075285434723
256,2.57024,1e-06,-0.075170993805
257,2.58031,1e-06,-0.075079441071
258,2.59038,1e-06,-0.074976444244
259,2.60045,1e-06,-0.074896335602
260,2.61054,1e-06,-0.0747590065
261,2.62061,1e-06,-0.074701786041
262,2.63068,1e-06,-0.074530124664
263,2.64075,1e-06,-0.074495792389
264,2.65082,1e-06,-0.074335098267
265,2.66089,1e-06,-0.074289321899
266,2.67096,1e-06,-0.074129104614
267,2.68104,1e-06,-0.074083328247
268,2.69111,1e-06,-0.073923110962
269,2.70118,1e-06,-0.073865890503
270,2.71125,1e-06,-0.073728561401
271,2.72132,1e-06,-0.073671340942
272,2.73141,1e-06,-0.073545455933
273,2.74148,1e-06,-0.07346534729
274,2.75156,1e-06,-0.073373317719
275,2.76163,1e-06,-0.073235988617
276,2.77171,1e-06,-0.073167324066
277,2.7818,1e-06,-0.073052883148
278,2.79186,1e-06,-0.072984218597
279,2.80194,1e-06,-0.072892665863
280,2.81202,1e-06,-0.072835445404
281,2.82208,1e-06,-0.072652339935
282,2.83215,1e-06,-0.072595119476
283,2.84223,1e-06,-0.072469234467
284,2.85231,1e-06,-0.072389125824
285,2.86239,1e-06,-0.072251319885
286,2.87246,1e-06,-0.072182655334
287,2.88254,1e-06,-0.072068214417
288,2.89262,1e-06,-0.071988105774
289,2.90268,1e-06,-0.071862220764
290,2.91275,1e-06,-0.071782112122
291,2.92283,1e-06,-0.071667671204
292,2.93291,1e-06,-0.071599006653
293,2.94297,1e-06,-0.071438789368
294,2.95304,1e-06,-0.071404457092
295,2.96312,1e-06,-0.071209430695
296,2.97318,1e-06,-0.071197986603
297,2.98327,1e-06,-0.071049213409
298,2.99334,1e-06,-0.07099199295
299,3.00341,1e-06,-0.070831775665
300,3.01348,1e-06,-0.070785999298
301,3.02355,1e-06,-0.070625782013
302,3.03363,1e-06,-0.070591449738
303,3.04371,1e-06,-0.07039642334
304,3.05378,1e-06,-0.070408344269
305,3.06383,1e-06,-0.070236206055
306,3.07648,1e-06,-0.070259094238
307,3.08408,1e-06,-0.069995880127
308,3.09409,1e-06,-0.070018768311
309,3.10416,1e-06,-0.069847106934
310,3.11423,1e-06,-0.06982421875
311,3.1243,1e-06,-0.069675445557
312,3.13437,1e-06,-0.069618225098
313,3.14444,1e-06,-0.069446563721
314,3.15452,1e-06,-0.069388866425
315,3.16459,1e-06,-0.069308757782
316,3.17466,1e-06,-0.069205760956
317,3.18473,1e-06,-0.06910276413
318,3.19485,1e-06,-0.068999767303
319,3.20494,1e-06,-0.068873882294
320,3.21503,1e-06,-0.068793773651
321,3.2251,1e-06,-0.068633556366
322,3.23522,1e-06,-0.068587779999
323,3.2453,1e-06,-0.068450450897
324,3.25537,1e-06,-0.068404197693
325,3.26543,1e-06,-0.068232536316
326,3.2755,1e-06,-0.068221092224
327,3.28559,1e-06,-0.06800365448
328,3.29565,1e-06,-0.068049430847
329,3.30572,1e-06,-0.06775188446
330,3.31579,1e-06,-0.06787776947
331,3.32587,1e-06,-0.067534446716
332,3.33592,1e-06,-0.067694664001
333,3.34599,1e-06,-0.067305088043
334,3.35606,1e-06,-0.067500114441
335,3.36613,1e-06,-0.067099094391
336,3.3762,1e-06,-0.06728219986
337,3.38629,1e-06,-0.066950321198
338,3.39635,1e-06,-0.067076206207
339,3.40643,1e-06,-0.066767215729
340,3.41787,1e-06,-0.06683588028
341,3.42662,1e-06,-0.066561222076
342,3.43668,1e-06,-0.06670999527
343,3.44675,1e-06,-0.066366195679
344,3.45683,1e-06,-0.066446781158
345,3.4669,1e-06,-0.066194534302
346,3.47698,1e-06,-0.066251754761
347,3.48705,1e-06,-0.065988540649
348,3.49712,1e-06,-0.066034317017
349,3.50719,1e-06,-0.065793991089
350,3.51726,1e-06,-0.065851211548
351,3.52733,1e-06,-0.065576553345
352,3.5374,1e-06,-0.065622329712
353,3.54748,1e-06,-0.065358638763
354,3.55756,1e-06,-0.065427303314
355,3.56762,1e-06,-0.065164089203
356,3.57771,1e-06,-0.065244197845
357,3.58778,1e-06,-0.064980983734
358,3.59785,1e-06,-0.065038204193
359,3.60792,1e-06,-0.06476354599
360,3.618,1e-06,-0.064820766449
361,3.62807,1e-06,-0.064580440521
362,3.63814,1e-06,-0.064614772797
363,3.64821,1e-06,-0.064305305481
364,3.65829,1e-06,-0.064419746399
365,3.66836,1e-06,-0.064133644104
